Source system ID,Plant (code),Plant (name),Calendar day,Operation Group,Material Unique (code),Material Unique (name),Stock Qty,ATP Quantity,ATP Qty (allow negative),Reserved Stock Qty,Stock in Transit Qty,Safety Stock Qty,Minimum Safety Stock Qty,Stock Value (EUR),ATP Stock Value (EUR),Reserved Stock Value (EUR),Safety Stock Value (EUR),Stock in Transit Value (EUR),Total Stock Value (EUR)
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100182,S140/PL.33 304TL 0.5mm,2712,2141,1123,475,2680,51,36,12943.65,11649.28,1623.64,243.41,12790.92,25734.57
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL420,MAT-100184,XL420/PL.35 304TL 0.8mm,4147,3824,1547,105,631,1085,760,20564.6,18508.14,1336.16,5380.42,3129.07,23693.67
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100185,XL520/PL.36 304TL 0.4mm,11343,10694,10093,1226,3100,260,182,285043.46,256539.11,53632.38,6533.66,77901.32,362944.78
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-9X,MAT-100186,PRO-9X/PL.37 304TL 0.4mm,7559,6835,6760,160,3436,751,526,134452.84,121007.56,13083.89,13358.13,61116.55,195569.39
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100203,HT80/PL.04 304TL 0.5mm,3957,2027,2124,64,2120,333,233,113973.14,102575.83,9965.18,9591.37,61062.18,175035.33
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100209,XL520/PL.10 304TL 0.6mm,3062,2102,1599,583,261,1022,715,81211.72,73090.55,4114.37,27105.94,6922.36,88134.08
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX250,MAT-100214,MX250/PL.15 304TL 0.7mm,1253,843,685,46,2366,924,647,20967.54,18870.78,2092.61,15462.09,39592.33,60559.87
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100221,XL520/PL.22 304TL 0.5mm,3736,2485,2429,647,735,416,291,141000.03,126900.03,7498.6,15700.22,27739.57,168739.6
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX200,MAT-100225,MX200/PL.26 304TL 0.5mm,5967,5552,4462,769,401,570,399,106740.56,96066.5,14782.71,10196.43,7173.28,113913.84
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX250,MAT-100226,MX250/PL.27 304TL 0.7mm,5395,3586,4382,303,2831,901,631,16391.95,14752.75,2068.98,2737.56,8601.6,24993.54
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100230,S140/PL.31 304TL 0.5mm,6259,3752,4976,598,2977,122,85,140179.34,126161.41,9868.46,2732.37,66674.21,206853.55
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100239,HT80/PL.40 304TL 0.5mm,11335,9473,3718,791,1678,345,241,632570.3,569313.27,70283.57,19253.35,93643.84,726214.14
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100242,S140/PL.43 304TL 0.3mm,11312,10000,10019,436,1747,1168,818,399815.76,359834.18,67797.59,41282.25,61746.65,461562.41
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-12X,MAT-100247,PRO-12X/PL.48 304TL 0.7mm,8904,7800,3084,402,2740,769,538,399942.43,359948.19,60040.18,34541.3,123073.03,523015.46
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX200,MAT-100249,MX200/PL.50 304TL 0.4mm,7244,4095,4292,217,217,589,412,411978.61,370780.75,30886.37,33497.43,12341.16,424319.77
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100252,S62/PL.03 304TL 0.4mm,11690,6038,4361,2151,2471,1153,807,671248.24,604123.42,78204.61,66206.09,141886.6,813134.84
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100264,S62/PL.15 304TL 0.8mm,2948,1938,1929,389,863,485,340,95891.86,86302.67,18124.6,15775.97,28071.46,123963.32
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100269,XL520/PL.20 304TL 0.5mm,11396,6271,7192,1435,2114,595,416,538555.53,484699.98,54389.1,28118.69,99904.04,638459.57
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-9X,MAT-100270,PRO-9X/PL.21 304TL 0.7mm,9306,5088,7486,702,1775,455,318,304697.04,274227.33,28163.22,14897.61,58117.05,362814.08
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX200,MAT-100273,MX200/PL.24 304TL 0.4mm,8717,4863,6536,665,606,742,519,174640.26,157176.23,11150.15,14865.56,12140.87,186781.13
P01,NW01,Northwind Midwest,2026.04.03,OPS-S120,MAT-100277,S120/PL.28 304TL 0.3mm,1544,1049,1029,196,3348,789,552,18950.1,17055.09,2977.87,9683.7,41091.28,60041.37
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-9X,MAT-100282,PRO-9X/PL.33 304TL 0.6mm,10426,6890,3821,1983,562,460,322,69171.9,62254.71,11265.11,3051.9,3728.62,72900.53
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-12X,MAT-100283,PRO-12X/PL.34 304TL 0.4mm,5958,4724,2516,664,561,57,40,79154.77,71239.3,10355.32,757.27,7453.14,86607.92
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX100,MAT-100284,MX100/PL.35 304TL 0.7mm,8634,6737,7556,999,219,961,673,286870.74,258183.67,19405.24,31929.9,7276.43,294147.17
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX250,MAT-100286,MX250/PL.37 304TL 0.4mm,5656,4671,3890,784,1523,1117,782,32186.61,28967.95,4265.41,6356.51,8666.94,40853.55
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100287,HT80/PL.38 304TL 0.3mm,11079,8914,7959,2202,1327,131,92,104002.36,93602.12,13648.07,1229.74,12457.0,116459.36
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100290,S140/PL.41 304TL 0.6mm,11749,7501,8088,1040,1031,1172,820,468360.53,421524.48,72628.47,46720.45,41099.64,509460.18
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-9X,MAT-100294,PRO-9X/PL.45 304TL 0.4mm,3391,1836,1412,531,477,470,329,177670.15,159903.14,30934.69,24625.47,24992.23,202662.39
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100299,HT80/PL.50 304TL 0.8mm,9848,5628,5999,1611,1530,679,475,541319.58,487187.62,87787.66,37322.91,84100.22,625419.8
P01,NW01,Northwind Midwest,2026.04.03,OPS-S120,MAT-100301,S120/PL.02 304TL 0.4mm,9645,7882,3568,1024,3049,291,204,345375.87,310838.28,46254.64,10420.36,109181.03,454556.9
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100305,XL520/PL.06 304TL 0.5mm,3350,2049,1285,289,2889,231,162,69185.91,62267.32,12537.92,4770.73,59665.1,128851.01
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100311,HT80/PL.12 304TL 0.7mm,6427,5614,4605,1263,1054,605,424,311557.74,280401.97,32032.11,29328.21,51094.11,362651.85
P01,NW01,Northwind Midwest,2026.04.03,OPS-S160,MAT-100315,S160/PL.16 304TL 0.6mm,6380,3360,2166,1035,2874,480,336,72908.79,65617.91,14060.93,5485.3,32843.24,105752.03
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100317,XL520/PL.18 304TL 0.5mm,6113,4258,1989,770,1013,746,522,173283.25,155954.92,11988.03,21146.62,28715.19,201998.43
P01,NW01,Northwind Midwest,2026.04.03,OPS-S120,MAT-100325,S120/PL.26 304TL 0.3mm,11153,5596,6271,1168,976,978,685,380302.84,342272.56,31336.27,33348.53,33280.33,413583.17
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100329,XL520/PL.30 304TL 0.6mm,9762,6339,5395,1332,861,719,503,183546.52,165191.87,22117.94,13518.74,16188.65,199735.17
P01,NW01,Northwind Midwest,2026.04.03,OPS-S120,MAT-100337,S120/PL.38 304TL 0.4mm,1668,837,1173,123,2069,326,228,84772.0,76294.8,10050.64,16568.15,105151.84,189923.85
P01,NW01,Northwind Midwest,2026.04.03,OPS-S160,MAT-100339,S160/PL.40 304TL 0.5mm,4866,4442,2313,354,1586,229,160,223657.32,201291.59,14788.04,10525.59,72897.76,296555.08
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-12X,MAT-100343,PRO-12X/PL.44 304TL 0.7mm,3716,3206,1967,202,2793,893,625,100678.64,90610.78,17077.81,24194.3,75671.54,176350.19
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX200,MAT-100345,MX200/PL.46 304TL 0.6mm,5942,4142,2445,147,3417,531,372,146380.98,131742.88,15835.67,13081.17,84177.68,230558.66
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100350,S140/PL.01 304TL 0.7mm,6491,3259,2989,217,230,535,374,361625.27,325462.75,48603.23,29805.81,12813.71,374438.99
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100353,XL520/PL.04 304TL 0.5mm,8468,4460,5492,665,2830,437,306,337601.31,303841.18,34955.87,17422.27,112826.14,450427.45
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100359,HT80/PL.10 304TL 0.4mm,5862,4223,3918,619,1476,87,61,286585.76,257927.18,39116.71,4253.32,72159.77,358745.53
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100360,S62/PL.11 304TL 0.5mm,2866,1590,1491,67,510,553,387,143824.91,129442.42,26511.37,27751.28,25593.41,169418.31
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-12X,MAT-100367,PRO-12X/PL.18 304TL 0.4mm,2541,1603,1235,41,92,173,121,87878.18,79090.36,5090.25,5983.05,3181.74,91059.91
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX250,MAT-100370,MX250/PL.21 304TL 0.8mm,1520,1195,1212,88,673,115,80,53099.73,47789.76,9476.85,4017.41,23510.6,76610.33
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100374,S140/PL.25 304TL 0.7mm,9219,6125,3689,1654,487,306,214,194893.08,175403.78,33599.8,6468.95,10295.36,205188.45
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX100,MAT-100380,MX100/PL.31 304TL 0.6mm,5623,4732,4465,996,2687,379,265,20906.17,18815.55,1677.01,1409.11,9990.2,30896.37
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100395,HT80/PL.46 304TL 0.4mm,7516,6802,4965,1420,2131,922,645,118899.64,107009.68,19673.17,14585.61,33711.43,152611.08
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100398,S140/PL.49 304TL 0.5mm,3872,3544,3064,219,1839,81,57,119624.87,107662.39,11091.97,2502.48,56815.64,176440.51
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX100,MAT-100416,MX100/PL.17 304TL 0.7mm,2691,1525,1675,363,2631,780,546,148151.36,133336.23,11723.07,42942.42,144848.1,292999.47
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100420,S62/PL.21 304TL 0.5mm,11010,8763,4493,76,2211,948,664,267515.86,240764.28,36213.86,23034.06,53721.85,321237.71
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100422,S140/PL.23 304TL 0.5mm,9626,8209,5283,290,3127,99,69,371965.48,334768.93,43393.87,3825.53,120832.75,492798.23
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL420,MAT-100436,XL420/PL.37 304TL 0.4mm,9427,8171,4848,1099,2651,1126,788,494940.49,445446.44,92617.41,59117.75,139183.97,634124.46
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX100,MAT-100440,MX100/PL.41 304TL 0.5mm,7494,4288,3790,185,2228,195,136,158944.33,143049.9,8022.51,4135.86,47254.87,206199.2
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100444,S62/PL.45 304TL 0.8mm,9978,5831,4343,1875,952,1099,769,404081.01,363672.91,59616.08,44506.42,38553.33,442634.34
P01,NW01,Northwind Midwest,2026.04.03,OPS-S160,MAT-100447,S160/PL.48 304TL 0.4mm,595,335,237,54,3086,263,184,34799.3,31319.37,5269.96,15381.88,180488.47,215287.78
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100449,XL520/PL.50 304TL 0.7mm,1918,1675,1483,213,1439,828,580,24692.91,22223.62,2602.54,10659.92,18526.12,43219.03
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX250,MAT-100454,MX250/PL.05 304TL 0.6mm,11531,10209,6688,974,358,106,74,187840.82,169056.73,10224.37,1726.75,5831.85,193672.66
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100461,XL520/PL.12 304TL 0.7mm,10513,8737,3948,1197,79,474,332,619805.73,557825.15,52732.49,27945.2,4657.53,624463.26
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-12X,MAT-100463,PRO-12X/PL.14 304TL 0.7mm,3740,3370,3276,559,745,1158,811,71331.13,64198.02,4786.56,22085.95,14209.01,85540.14
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX100,MAT-100464,MX100/PL.15 304TL 0.4mm,8545,6172,3594,1532,1437,779,545,369900.01,332910.01,70372.86,33721.72,62205.54,432105.55
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100468,S62/PL.19 304TL 0.8mm,10220,8686,8799,1278,723,570,399,231599.87,208439.89,30973.69,12917.02,16384.22,247984.09
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL420,MAT-100472,XL420/PL.23 304TL 0.6mm,1743,1200,1213,4,1170,831,582,86528.35,77875.51,13699.74,41253.62,58082.71,144611.06
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100473,XL520/PL.24 304TL 0.4mm,4154,2326,1493,809,3370,492,344,235850.38,212265.34,12689.87,27934.13,191337.45,427187.83
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX200,MAT-100477,MX200/PL.28 304TL 0.4mm,9533,7224,3686,1556,1331,815,570,483204.43,434883.99,27258.8,41310.35,67465.13,550669.56
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100479,HT80/PL.30 304TL 0.7mm,5113,4520,2434,6,460,1028,720,69711.69,62740.52,4601.49,14015.96,6271.73,75983.43
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100482,S140/PL.33 304TL 0.8mm,425,362,295,51,2190,60,42,16718.37,15046.54,1309.25,2360.24,86148.8,102867.17
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100492,S62/PL.43 304TL 0.5mm,1927,1109,831,19,1954,868,608,79341.2,71407.08,11297.72,35738.54,80452.88,159794.07
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL420,MAT-100496,XL420/PL.47 304TL 0.5mm,4575,4002,2023,398,2724,466,326,125671.77,113104.59,24721.52,12800.67,74826.21,200497.98
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX100,MAT-100500,MX100/PL.01 304TL 0.3mm,1893,1482,788,114,2872,722,505,85820.62,77238.56,17132.21,32732.43,130204.35,216024.97
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100509,XL520/PL.10 304TL 0.5mm,5889,3235,1998,1106,2910,589,412,137168.39,123451.55,26862.14,13719.17,67780.61,204949.0
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX200,MAT-100513,MX200/PL.14 304TL 0.6mm,11326,8431,5303,704,105,1154,808,83212.61,74891.35,8206.04,8478.49,771.44,83984.05
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX250,MAT-100514,MX250/PL.15 304TL 0.4mm,3748,2592,2193,522,798,654,458,165555.62,149000.06,18413.73,28888.31,35249.04,200804.66
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100516,S62/PL.17 304TL 0.6mm,8497,5395,6808,92,2465,975,682,317017.03,285315.32,58103.06,36376.56,91967.4,408984.42
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100518,S140/PL.19 304TL 0.6mm,619,554,549,16,2272,773,541,35637.95,32074.15,3821.36,44504.26,130806.82,166444.77
P01,NW01,Northwind Midwest,2026.04.03,OPS-S160,MAT-100519,S160/PL.20 304TL 0.7mm,5876,5373,4766,130,1577,791,554,33901.53,30511.38,5643.11,4563.67,9098.49,43000.02
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL420,MAT-100520,XL420/PL.21 304TL 0.7mm,6279,4625,4963,44,2823,795,556,198349.56,178514.61,20074.81,25113.54,89176.75,287526.32
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX200,MAT-100525,MX200/PL.26 304TL 0.6mm,11863,7990,9065,1121,3087,639,447,566127.46,509514.71,87869.15,30494.43,147318.17,713445.63
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100528,S62/PL.29 304TL 0.7mm,2214,1880,854,295,1929,1162,813,13712.26,12341.03,1361.49,7196.77,11947.13,25659.39
P01,NW01,Northwind Midwest,2026.04.03,OPS-S120,MAT-100529,S120/PL.30 304TL 0.3mm,10420,5386,8094,1343,1950,499,349,456399.44,410759.5,83524.05,21856.36,85410.64,541810.09
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX250,MAT-100538,MX250/PL.39 304TL 0.5mm,3030,1843,1969,202,2415,925,648,180993.27,162893.94,10333.37,55253.72,144257.01,325250.28
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100539,HT80/PL.40 304TL 0.5mm,2360,1771,1060,468,607,946,662,59380.9,53442.81,3509.14,23802.68,15272.97,74653.86
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100540,S62/PL.41 304TL 0.3mm,8286,5901,4779,744,3074,1127,789,478066.48,430259.83,82447.87,65023.04,177356.55,655423.03
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-12X,MAT-100547,PRO-12X/PL.48 304TL 0.6mm,11826,10878,7448,519,880,1155,808,44554.11,40098.7,8267.69,4351.43,3315.37,47869.49
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100552,S62/PL.03 304TL 0.7mm,4082,2680,3057,745,1015,787,551,161264.75,145138.28,8124.41,31091.47,40098.9,201363.66
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL420,MAT-100556,XL420/PL.07 304TL 0.3mm,11391,9313,6872,232,3008,452,316,566531.71,509878.54,97773.46,22480.23,149602.97,716134.68
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL520,MAT-100557,XL520/PL.08 304TL 0.7mm,6262,4368,5154,823,3173,861,603,357806.08,322025.47,26015.15,49196.91,181302.89,539108.97
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-9X,MAT-100558,PRO-9X/PL.09 304TL 0.4mm,11211,8995,7479,1590,953,463,324,221644.55,199480.1,27604.49,9153.64,18841.07,240485.63
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX200,MAT-100561,MX200/PL.12 304TL 0.6mm,11813,6174,6778,521,2645,421,295,215917.76,194325.98,35307.81,7695.03,48345.25,264263.01
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100566,S140/PL.17 304TL 0.6mm,2066,1136,1147,398,2734,1016,711,15265.07,13738.56,1597.94,7506.93,20200.73,35465.8
