WC Schedule Label,Plant,Plant name,Size,WC-Group,WC-Description,WC-Description long,Weekly Schedule,Hours,Days,AP Limit,Weekly available time,Suggested % Limit,AP Limit (in %),AP Limit time (in H),OEE (in %),Daily breaks (in H),NR of stands per WC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
NW01_PRESS_3 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_3,Press 8000T,12/5,12,5,Downside Limit 2 (hrs),21.5,0.5,0.5,21.5,0.8,1.0,2,93.56,96.4,95.04,92.93,89.66,89.99,89.71,90.71,95.59,94.47,93.82,95.28
NW01_PRESS_3 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_3,Press 8000T,12/5,12,5,Downside Limit 1 (hrs),30.1,0.7,0.7,30.1,0.8,1.0,2,123.74,132.28,129.9,133.04,124.02,133.95,133.04,126.95,132.19,125.32,124.75,123.87
NW01_PRESS_3 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_3,Press 8000T,12/5,12,5,"Available Capacity, hours",43.0,1.0,1.0,43.0,0.8,1.0,2,193.52,184.1,193.74,176.22,188.25,192.77,193.88,188.79,180.06,181.61,180.23,176.73
NW01_PRESS_3 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_3,Press 8000T,12/5,12,5,Upside Limit 1 (hrs),55.9,1.3,1.3,55.9,0.8,1.0,2,239.67,239.7,246.54,242.67,236.88,247.84,239.53,240.16,234.34,245.49,250.8,239.47
NW01_PRESS_3 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_3,Press 8000T,12/5,12,5,Upside Limit 2 (hrs),68.8,1.6,1.6,68.8,0.8,1.0,2,283.86,295.17,308.61,303.58,298.5,287.49,292.63,284.61,309.41,304.13,288.49,305.11
NW01_PRESS_4 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_4,Press 8000T,12/5,12,5,Downside Limit 2 (hrs),21.5,0.5,0.5,21.5,0.8,1.0,2,92.2,95.47,88.09,88.62,89.56,90.59,96.71,93.36,96.81,93.4,93.73,92.22
NW01_PRESS_4 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_4,Press 8000T,12/5,12,5,Downside Limit 1 (hrs),30.1,0.7,0.7,30.1,0.8,1.0,2,127.85,125.16,125.3,133.08,135.89,125.7,135.61,129.64,133.87,123.39,123.97,123.8
NW01_PRESS_4 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_4,Press 8000T,12/5,12,5,"Available Capacity, hours",43.0,1.0,1.0,43.0,0.8,1.0,2,190.81,182.95,176.26,179.73,177.58,181.79,191.57,190.7,183.13,187.78,192.47,183.21
NW01_PRESS_4 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_4,Press 8000T,12/5,12,5,Upside Limit 1 (hrs),55.9,1.3,1.3,55.9,0.8,1.0,2,242.14,243.63,247.3,241.56,249.02,240.5,250.74,238.17,241.78,231.21,229.13,249.22
NW01_PRESS_4 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_4,Press 8000T,12/5,12,5,Upside Limit 2 (hrs),68.8,1.6,1.6,68.8,0.8,1.0,2,284.22,292.57,284.24,281.56,291.02,284.94,306.54,284.18,298.5,309.65,281.6,298.51
NW01_PRESS_5 24/5 (24H/5D),NW01,Northwind Midwest,L,,PRESS_5,Press 11000T,24/5,24,5,Downside Limit 2 (hrs),43.0,0.5,0.5,43.0,0.8,2.0,3,180.64,192.36,178.21,184.04,190.99,175.92,182.29,188.77,181.42,185.76,178.02,183.28
NW01_PRESS_5 24/5 (24H/5D),NW01,Northwind Midwest,L,,PRESS_5,Press 11000T,24/5,24,5,Downside Limit 1 (hrs),60.2,0.7,0.7,60.2,0.8,2.0,3,270.79,270.78,267.26,249.78,250.28,253.77,247.35,247.87,263.33,269.84,265.27,263.97
NW01_PRESS_5 24/5 (24H/5D),NW01,Northwind Midwest,L,,PRESS_5,Press 11000T,24/5,24,5,"Available Capacity, hours",86.0,1.0,1.0,86.0,0.8,2.0,3,383.27,381.09,375.03,365.67,374.65,363.25,379.45,372.59,359.5,361.78,374.03,375.39
NW01_PRESS_5 24/5 (24H/5D),NW01,Northwind Midwest,L,,PRESS_5,Press 11000T,24/5,24,5,Upside Limit 1 (hrs),111.8,1.3,1.3,111.8,0.8,2.0,3,500.4,486.93,481.91,504.06,466.45,462.13,473.99,483.46,481.04,488.57,482.09,483.84
NW01_PRESS_5 24/5 (24H/5D),NW01,Northwind Midwest,L,,PRESS_5,Press 11000T,24/5,24,5,Upside Limit 2 (hrs),137.6,1.6,1.6,137.6,0.8,2.0,3,607.23,578.68,607.2,596.17,612.71,584.38,586.25,567.71,576.84,564.09,571.25,597.74
NW01_PRESS_6 24/5 (24H/5D),NW01,Northwind Midwest,L,,PRESS_6,Press 13900T,24/5,24,5,Downside Limit 2 (hrs),43.0,0.5,0.5,43.0,0.8,2.0,3,183.07,192.43,189.04,187.69,176.16,182.76,193.21,179.85,186.89,193.73,186.43,186.56
NW01_PRESS_6 24/5 (24H/5D),NW01,Northwind Midwest,L,,PRESS_6,Press 13900T,24/5,24,5,Downside Limit 1 (hrs),60.2,0.7,0.7,60.2,0.8,2.0,3,265.4,267.0,246.63,266.76,247.71,261.59,269.35,255.86,248.87,267.61,268.47,261.27
NW01_PRESS_6 24/5 (24H/5D),NW01,Northwind Midwest,L,,PRESS_6,Press 13900T,24/5,24,5,"Available Capacity, hours",86.0,1.0,1.0,86.0,0.8,2.0,3,385.47,355.86,362.23,377.36,363.48,355.83,365.33,363.44,363.96,374.45,369.36,354.41
NW01_PRESS_6 24/5 (24H/5D),NW01,Northwind Midwest,L,,PRESS_6,Press 13900T,24/5,24,5,Upside Limit 1 (hrs),111.8,1.3,1.3,111.8,0.8,2.0,3,464.5,483.9,475.4,488.84,488.92,476.39,504.26,487.71,491.31,459.89,469.58,480.59
NW01_PRESS_6 24/5 (24H/5D),NW01,Northwind Midwest,L,,PRESS_6,Press 13900T,24/5,24,5,Upside Limit 2 (hrs),137.6,1.6,1.6,137.6,0.8,2.0,3,591.81,595.59,575.05,582.48,584.11,613.88,618.06,587.69,616.57,605.14,590.82,572.52
NW01_EXTRUSION_1 12/5 (12H/5D),NW01,Northwind Midwest,M,,EXTRUSION_1,Extrusion line A,12/5,12,5,Downside Limit 2 (hrs),20.3,0.5,0.5,20.3,0.76,1.0,2,88.88,89.23,88.45,89.57,90.44,85.66,91.16,83.85,91.6,89.18,83.94,88.12
NW01_EXTRUSION_1 12/5 (12H/5D),NW01,Northwind Midwest,M,,EXTRUSION_1,Extrusion line A,12/5,12,5,Downside Limit 1 (hrs),28.42,0.7,0.7,28.42,0.76,1.0,2,119.45,125.2,123.26,120.91,125.15,117.88,119.59,126.96,126.8,124.03,124.78,127.43
NW01_EXTRUSION_1 12/5 (12H/5D),NW01,Northwind Midwest,M,,EXTRUSION_1,Extrusion line A,12/5,12,5,"Available Capacity, hours",40.6,1.0,1.0,40.6,0.76,1.0,2,180.89,169.18,166.71,176.58,166.49,182.01,176.23,172.92,168.56,166.04,171.28,165.97
NW01_EXTRUSION_1 12/5 (12H/5D),NW01,Northwind Midwest,M,,EXTRUSION_1,Extrusion line A,12/5,12,5,Upside Limit 1 (hrs),52.78,1.3,1.3,52.78,0.76,1.0,2,224.94,237.03,231.4,238.11,219.65,223.43,215.9,228.84,222.09,230.12,226.06,233.52
NW01_EXTRUSION_1 12/5 (12H/5D),NW01,Northwind Midwest,M,,EXTRUSION_1,Extrusion line A,12/5,12,5,Upside Limit 2 (hrs),64.96,1.6,1.6,64.96,0.76,1.0,2,271.23,284.68,273.85,272.49,274.44,286.72,274.51,280.22,268.48,288.08,273.32,290.15
NW01_GRINDING_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,GRINDING_1,Grinding line,12/5,12,5,Downside Limit 2 (hrs),20.3,0.5,0.5,20.3,0.76,1.0,1,86.93,88.28,90.56,88.67,88.28,86.66,84.21,87.71,90.47,91.14,88.19,84.84
NW01_GRINDING_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,GRINDING_1,Grinding line,12/5,12,5,Downside Limit 1 (hrs),28.42,0.7,0.7,28.42,0.76,1.0,1,121.22,123.25,123.8,128.21,127.14,127.35,118.17,117.79,126.95,119.67,117.42,123.37
NW01_GRINDING_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,GRINDING_1,Grinding line,12/5,12,5,"Available Capacity, hours",40.6,1.0,1.0,40.6,0.76,1.0,1,176.45,178.46,176.71,166.13,170.52,181.75,171.63,166.6,172.17,171.74,173.51,172.73
NW01_GRINDING_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,GRINDING_1,Grinding line,12/5,12,5,Upside Limit 1 (hrs),52.78,1.3,1.3,52.78,0.76,1.0,1,228.24,220.79,230.54,219.59,232.03,225.27,218.97,231.36,217.51,216.56,236.4,232.2
NW01_GRINDING_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,GRINDING_1,Grinding line,12/5,12,5,Upside Limit 2 (hrs),64.96,1.6,1.6,64.96,0.76,1.0,1,271.24,268.63,275.16,285.23,288.99,282.71,289.01,279.85,273.57,274.05,269.8,280.55
NW01_ASSY_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,ASSY_1,Assembly cell 1,12/5,12,5,Downside Limit 2 (hrs),20.3,0.5,0.5,20.3,0.76,1.0,1,84.7,85.53,88.47,83.89,91.28,84.33,84.79,84.97,90.43,88.3,85.2,90.52
NW01_ASSY_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,ASSY_1,Assembly cell 1,12/5,12,5,Downside Limit 1 (hrs),28.42,0.7,0.7,28.42,0.76,1.0,1,120.79,125.11,119.33,124.9,120.53,118.86,117.56,128.3,123.65,121.95,125.59,119.98
NW01_ASSY_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,ASSY_1,Assembly cell 1,12/5,12,5,"Available Capacity, hours",40.6,1.0,1.0,40.6,0.76,1.0,1,179.44,177.23,173.07,175.11,173.73,166.3,181.27,177.42,178.15,166.35,168.24,176.26
NW01_ASSY_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,ASSY_1,Assembly cell 1,12/5,12,5,Upside Limit 1 (hrs),52.78,1.3,1.3,52.78,0.76,1.0,1,229.51,217.9,235.54,237.52,226.04,234.65,232.39,230.92,218.15,228.42,236.75,235.32
NW01_ASSY_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,ASSY_1,Assembly cell 1,12/5,12,5,Upside Limit 2 (hrs),64.96,1.6,1.6,64.96,0.76,1.0,1,271.42,279.53,276.03,285.74,284.73,284.03,292.01,276.53,273.8,285.77,272.31,276.69
NW02_PRESS_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,PRESS_1,Press 3300T,8/5,8,5,Downside Limit 2 (hrs),13.9,0.5,0.5,13.9,0.82,1.0,1,58.74,61.01,57.05,56.96,59.9,57.1,62.23,61.77,57.49,58.23,60.67,61.84
NW02_PRESS_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,PRESS_1,Press 3300T,8/5,8,5,Downside Limit 1 (hrs),19.46,0.7,0.7,19.46,0.82,1.0,1,85.51,85.95,84.37,83.89,86.38,85.25,79.69,85.76,86.27,79.98,80.64,84.64
NW02_PRESS_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,PRESS_1,Press 3300T,8/5,8,5,"Available Capacity, hours",27.8,1.0,1.0,27.8,0.82,1.0,1,119.17,118.74,117.33,116.41,121.4,120.76,120.28,119.96,120.9,125.49,116.56,118.81
NW02_PRESS_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,PRESS_1,Press 3300T,8/5,8,5,Upside Limit 1 (hrs),36.14,1.3,1.3,36.14,0.82,1.0,1,162.72,155.46,149.8,153.27,156.43,158.58,150.6,157.76,150.58,152.88,160.0,147.82
NW02_PRESS_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,PRESS_1,Press 3300T,8/5,8,5,Upside Limit 2 (hrs),44.48,1.6,1.6,44.48,0.82,1.0,1,193.89,188.38,195.37,198.94,200.59,191.22,194.66,190.33,181.79,199.65,183.05,182.75
NW02_PRESS_2 8/5 (8H/5D),NW02,Northwind Heartland,S,,PRESS_2,Press 3300T,8/5,8,5,Downside Limit 2 (hrs),13.9,0.5,0.5,13.9,0.82,1.0,1,59.53,61.25,58.75,60.43,60.2,60.86,57.38,57.21,61.48,62.0,57.59,61.29
NW02_PRESS_2 8/5 (8H/5D),NW02,Northwind Heartland,S,,PRESS_2,Press 3300T,8/5,8,5,Downside Limit 1 (hrs),19.46,0.7,0.7,19.46,0.82,1.0,1,87.23,84.91,85.48,84.15,80.05,82.17,83.97,86.04,82.83,83.64,84.97,87.5
NW02_PRESS_2 8/5 (8H/5D),NW02,Northwind Heartland,S,,PRESS_2,Press 3300T,8/5,8,5,"Available Capacity, hours",27.8,1.0,1.0,27.8,0.82,1.0,1,124.92,115.81,116.7,122.52,116.74,124.98,118.62,113.96,124.27,123.7,124.79,121.34
NW02_PRESS_2 8/5 (8H/5D),NW02,Northwind Heartland,S,,PRESS_2,Press 3300T,8/5,8,5,Upside Limit 1 (hrs),36.14,1.3,1.3,36.14,0.82,1.0,1,149.31,160.41,148.97,150.4,155.79,150.86,149.23,147.73,152.98,150.39,149.25,147.69
NW02_PRESS_2 8/5 (8H/5D),NW02,Northwind Heartland,S,,PRESS_2,Press 3300T,8/5,8,5,Upside Limit 2 (hrs),44.48,1.6,1.6,44.48,0.82,1.0,1,190.25,190.15,191.64,200.57,188.52,193.98,194.04,193.22,198.06,199.3,187.08,198.78
NW02_PRESS_3 8/5 (8H/5D),NW02,Northwind Heartland,M,,PRESS_3,Press 5500T,8/5,8,5,Downside Limit 2 (hrs),13.9,0.5,0.5,13.9,0.82,1.0,2,59.47,59.73,60.4,59.08,58.7,58.5,58.8,60.37,58.72,60.65,58.1,57.33
NW02_PRESS_3 8/5 (8H/5D),NW02,Northwind Heartland,M,,PRESS_3,Press 5500T,8/5,8,5,Downside Limit 1 (hrs),19.46,0.7,0.7,19.46,0.82,1.0,2,84.93,82.6,81.37,83.48,80.78,81.77,85.69,81.82,81.49,85.53,84.73,82.03
NW02_PRESS_3 8/5 (8H/5D),NW02,Northwind Heartland,M,,PRESS_3,Press 5500T,8/5,8,5,"Available Capacity, hours",27.8,1.0,1.0,27.8,0.82,1.0,2,118.76,114.05,119.04,117.32,122.39,116.49,120.44,124.56,120.99,121.39,118.91,114.59
NW02_PRESS_3 8/5 (8H/5D),NW02,Northwind Heartland,M,,PRESS_3,Press 5500T,8/5,8,5,Upside Limit 1 (hrs),36.14,1.3,1.3,36.14,0.82,1.0,2,154.0,159.57,150.09,161.36,154.5,156.63,157.7,157.68,148.05,153.45,160.85,153.85
NW02_PRESS_3 8/5 (8H/5D),NW02,Northwind Heartland,M,,PRESS_3,Press 5500T,8/5,8,5,Upside Limit 2 (hrs),44.48,1.6,1.6,44.48,0.82,1.0,2,186.49,188.04,183.94,193.97,185.29,199.34,182.46,198.72,186.64,184.31,188.92,185.63
NW02_PRESS_4 8/5 (8H/5D),NW02,Northwind Heartland,M,,PRESS_4,Press 8000T,8/5,8,5,Downside Limit 2 (hrs),13.9,0.5,0.5,13.9,0.82,1.0,2,60.38,59.97,58.19,59.0,62.53,57.68,58.91,58.4,58.67,61.69,56.96,59.96
NW02_PRESS_4 8/5 (8H/5D),NW02,Northwind Heartland,M,,PRESS_4,Press 8000T,8/5,8,5,Downside Limit 1 (hrs),19.46,0.7,0.7,19.46,0.82,1.0,2,87.32,82.88,83.8,86.43,85.74,86.66,80.96,82.85,85.68,84.54,86.14,87.02
NW02_PRESS_4 8/5 (8H/5D),NW02,Northwind Heartland,M,,PRESS_4,Press 8000T,8/5,8,5,"Available Capacity, hours",27.8,1.0,1.0,27.8,0.82,1.0,2,124.67,123.6,120.45,117.98,118.22,123.53,120.18,121.96,119.08,121.7,123.72,117.25
NW02_PRESS_4 8/5 (8H/5D),NW02,Northwind Heartland,M,,PRESS_4,Press 8000T,8/5,8,5,Upside Limit 1 (hrs),36.14,1.3,1.3,36.14,0.82,1.0,2,152.79,148.66,162.52,154.09,159.68,160.41,157.99,149.11,150.39,162.09,154.89,155.09
NW02_PRESS_4 8/5 (8H/5D),NW02,Northwind Heartland,M,,PRESS_4,Press 8000T,8/5,8,5,Upside Limit 2 (hrs),44.48,1.6,1.6,44.48,0.82,1.0,2,199.55,182.64,188.24,198.49,195.73,183.62,184.95,182.19,199.57,198.1,193.06,190.13
NW02_PRESS_5 24/5 (24H/5D),NW02,Northwind Heartland,L,,PRESS_5,Press 11000T,24/5,24,5,Downside Limit 2 (hrs),44.2,0.5,0.5,44.2,0.82,2.0,3,191.23,195.38,183.03,187.59,199.53,181.92,196.7,184.3,196.93,199.52,188.54,191.31
NW02_PRESS_5 24/5 (24H/5D),NW02,Northwind Heartland,L,,PRESS_5,Press 11000T,24/5,24,5,Downside Limit 1 (hrs),61.88,0.7,0.7,61.88,0.82,2.0,3,271.02,269.03,261.57,265.02,265.28,268.42,255.9,271.1,254.2,277.93,263.82,270.45
NW02_PRESS_5 24/5 (24H/5D),NW02,Northwind Heartland,L,,PRESS_5,Press 11000T,24/5,24,5,"Available Capacity, hours",88.4,1.0,1.0,88.4,0.82,2.0,3,378.18,380.38,395.37,379.57,379.2,377.51,362.58,375.74,365.62,385.04,369.94,394.49
NW02_PRESS_5 24/5 (24H/5D),NW02,Northwind Heartland,L,,PRESS_5,Press 11000T,24/5,24,5,Upside Limit 1 (hrs),114.92,1.3,1.3,114.92,0.82,2.0,3,506.97,496.54,518.37,492.28,493.19,513.32,511.27,488.63,503.15,509.19,488.31,487.8
NW02_PRESS_5 24/5 (24H/5D),NW02,Northwind Heartland,L,,PRESS_5,Press 11000T,24/5,24,5,Upside Limit 2 (hrs),141.44,1.6,1.6,141.44,0.82,2.0,3,623.93,637.87,631.7,620.33,627.0,584.2,594.25,610.96,608.82,585.64,609.37,602.25
NW02_PRESS_6 24/5 (24H/5D),NW02,Northwind Heartland,L,,PRESS_6,Press 13900T,24/5,24,5,Downside Limit 2 (hrs),44.2,0.5,0.5,44.2,0.82,2.0,3,181.05,195.37,187.14,184.47,191.23,197.4,192.52,185.4,188.92,180.95,185.09,193.91
NW02_PRESS_6 24/5 (24H/5D),NW02,Northwind Heartland,L,,PRESS_6,Press 13900T,24/5,24,5,Downside Limit 1 (hrs),61.88,0.7,0.7,61.88,0.82,2.0,3,279.15,261.61,276.82,268.84,263.57,268.16,254.7,277.13,261.83,262.58,272.42,254.53
NW02_PRESS_6 24/5 (24H/5D),NW02,Northwind Heartland,L,,PRESS_6,Press 13900T,24/5,24,5,"Available Capacity, hours",88.4,1.0,1.0,88.4,0.82,2.0,3,363.94,374.92,398.96,397.9,388.41,377.32,396.08,367.55,364.02,361.92,391.72,363.56
NW02_PRESS_6 24/5 (24H/5D),NW02,Northwind Heartland,L,,PRESS_6,Press 13900T,24/5,24,5,Upside Limit 1 (hrs),114.92,1.3,1.3,114.92,0.82,2.0,3,513.45,509.57,475.21,507.47,500.14,498.91,518.67,493.29,508.34,488.88,488.35,486.19
NW02_PRESS_6 24/5 (24H/5D),NW02,Northwind Heartland,L,,PRESS_6,Press 13900T,24/5,24,5,Upside Limit 2 (hrs),141.44,1.6,1.6,141.44,0.82,2.0,3,588.6,580.25,583.69,588.89,630.47,610.74,605.42,623.0,625.27,598.66,632.64,602.26
NW02_EXTRUSION_1 8/5 (8H/5D),NW02,Northwind Heartland,M,,EXTRUSION_1,Extrusion line A,8/5,8,5,Downside Limit 2 (hrs),13.08,0.5,0.5,13.08,0.7789999999999999,1.0,2,57.07,55.81,54.3,57.89,58.73,56.37,54.36,55.96,58.08,54.75,54.54,56.68
NW02_EXTRUSION_1 8/5 (8H/5D),NW02,Northwind Heartland,M,,EXTRUSION_1,Extrusion line A,8/5,8,5,Downside Limit 1 (hrs),18.31,0.7,0.7,18.31,0.7789999999999999,1.0,2,78.02,79.77,78.78,75.21,82.17,82.36,82.48,78.87,77.23,81.43,78.08,76.68
NW02_EXTRUSION_1 8/5 (8H/5D),NW02,Northwind Heartland,M,,EXTRUSION_1,Extrusion line A,8/5,8,5,"Available Capacity, hours",26.16,1.0,1.0,26.16,0.7789999999999999,1.0,2,117.5,113.77,115.67,108.67,111.21,107.49,111.73,113.68,109.53,113.0,117.34,116.52
NW02_EXTRUSION_1 8/5 (8H/5D),NW02,Northwind Heartland,M,,EXTRUSION_1,Extrusion line A,8/5,8,5,Upside Limit 1 (hrs),34.01,1.3,1.3,34.01,0.7789999999999999,1.0,2,150.61,146.36,142.72,153.35,152.96,146.15,147.21,141.66,146.33,153.32,152.64,147.12
NW02_EXTRUSION_1 8/5 (8H/5D),NW02,Northwind Heartland,M,,EXTRUSION_1,Extrusion line A,8/5,8,5,Upside Limit 2 (hrs),41.86,1.6,1.6,41.86,0.7789999999999999,1.0,2,174.73,173.32,176.66,173.63,183.85,185.77,184.8,185.3,177.19,181.68,173.33,187.59
NW02_GRINDING_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,GRINDING_1,Grinding line,8/5,8,5,Downside Limit 2 (hrs),13.08,0.5,0.5,13.08,0.7789999999999999,1.0,1,56.05,55.89,55.67,57.5,55.74,57.56,56.9,57.62,58.24,57.64,57.4,53.45
NW02_GRINDING_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,GRINDING_1,Grinding line,8/5,8,5,Downside Limit 1 (hrs),18.31,0.7,0.7,18.31,0.7789999999999999,1.0,1,74.88,81.01,77.01,77.84,76.94,79.01,76.82,80.04,80.64,77.21,81.35,75.23
NW02_GRINDING_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,GRINDING_1,Grinding line,8/5,8,5,"Available Capacity, hours",26.16,1.0,1.0,26.16,0.7789999999999999,1.0,1,112.86,117.47,113.32,116.14,107.49,117.36,112.81,111.72,113.04,114.31,115.1,108.98
NW02_GRINDING_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,GRINDING_1,Grinding line,8/5,8,5,Upside Limit 1 (hrs),34.01,1.3,1.3,34.01,0.7789999999999999,1.0,1,148.37,146.47,146.59,152.29,141.44,145.63,149.96,147.5,151.27,145.25,140.72,150.61
NW02_GRINDING_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,GRINDING_1,Grinding line,8/5,8,5,Upside Limit 2 (hrs),41.86,1.6,1.6,41.86,0.7789999999999999,1.0,1,188.97,182.07,177.44,178.88,180.54,175.05,171.49,180.8,175.43,183.34,174.99,180.46
NW02_LATHE_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,LATHE_1,Lathe cell,8/5,8,5,Downside Limit 2 (hrs),13.08,0.5,0.5,13.08,0.7789999999999999,1.0,1,58.57,58.95,55.28,54.46,54.07,58.96,56.32,55.59,53.66,58.85,55.91,57.21
NW02_LATHE_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,LATHE_1,Lathe cell,8/5,8,5,Downside Limit 1 (hrs),18.31,0.7,0.7,18.31,0.7789999999999999,1.0,1,74.97,75.63,79.19,79.92,80.68,74.92,75.13,78.12,75.39,75.77,79.35,76.88
NW02_LATHE_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,LATHE_1,Lathe cell,8/5,8,5,"Available Capacity, hours",26.16,1.0,1.0,26.16,0.7789999999999999,1.0,1,112.03,117.0,116.2,109.32,108.29,113.03,116.47,112.55,117.65,116.32,109.49,114.59
NW02_LATHE_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,LATHE_1,Lathe cell,8/5,8,5,Upside Limit 1 (hrs),34.01,1.3,1.3,34.01,0.7789999999999999,1.0,1,144.92,142.87,141.56,149.8,151.57,145.64,143.49,140.72,150.73,143.33,141.29,148.98
NW02_LATHE_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,LATHE_1,Lathe cell,8/5,8,5,Upside Limit 2 (hrs),41.86,1.6,1.6,41.86,0.7789999999999999,1.0,1,173.91,171.44,179.41,182.08,186.57,174.95,174.8,178.19,187.85,183.9,183.4,182.89
NW02_ASSY_1 8/5 (8H/5D),NW02,Northwind Heartland,S,,ASSY_1,Assembly cell,8/5,8,5,Downside Limit 2 (hrs),13.08,0.5,0.5,13.08,0.7789999999999999,1.0,1,57.59,54.01,56.55,56.34,57.24,53.61,53.72,54.4,57.91,57.46,57.06,54.19
