Connector,Plant,Type,Sap code,Material description,Total QTY,Tool No.,Work center,Group,Cycle times Standard Value (Machine),OPS plan GD,Rev no,Material Status
NW01_MAT-100119,NW01,Plates,MAT-100119,HT80/PL.20 304TL 0.4mm,129575,T-70698-A,PRESS_6,N/53577029,1.961,252458,A,Active
NW01_MAT-100123,NW01,Plates,MAT-100123,S160/PL.24 304TL 0.4mm,15673,T-70152-B,PRESS_3,N/52525807,1.077,40401,C,Active
NW01_MAT-100126,NW01,Plates,MAT-100126,PRO-9X/PL.27 304TL 0.5mm,105261,T-70561-C,PRESS_1,N/57774636,1.515,214472,C,Phase-out
NW01_MAT-100130,NW01,Plates,MAT-100130,MX250/PL.31 304TL 0.7mm,26734,T-70601-B,GRINDING_1,N/57819397,1.316,74745,C,Active
NW01_MAT-100131,NW01,Plates,MAT-100131,HT80/PL.32 304TL 0.4mm,166578,T-70381-D,PRESS_6,N/55153367,1.5,23691,B,Active
NW01_MAT-100134,NW01,Plates,MAT-100134,S140/PL.35 304TL 0.6mm,115440,T-70096-D,PRESS_5,N/50343726,1.292,56352,C,Active
NW01_MAT-100140,NW01,Plates,MAT-100140,MX100/PL.41 304TL 0.5mm,97652,T-70022-D,GRINDING_1,N/55865171,1.338,313738,A,Active
NW01_MAT-100141,NW01,Plates,MAT-100141,MX200/PL.42 304TL 0.3mm,186792,T-70688-A,ASSY_1,N/54592850,1.489,5154,C,Phase-out
NW01_MAT-100146,NW01,Plates,MAT-100146,S140/PL.47 304TL 0.4mm,35272,T-70374-C,EXTRUSION_1,N/53577081,1.053,280883,A,Active
NW01_MAT-100147,NW01,Plates,MAT-100147,S160/PL.48 304TL 0.7mm,216077,T-70386-D,PRESS_5,N/56501480,1.408,4155,C,Active
NW01_MAT-100150,NW01,Plates,MAT-100150,PRO-9X/PL.01 304TL 0.5mm,18530,T-70288-A,ASSY_1,N/55015423,1.397,4586,C,Active
NW01_MAT-100159,NW01,Plates,MAT-100159,S160/PL.10 304TL 0.6mm,10257,T-70184-B,PRESS_1,N/57583141,1.461,150641,A,Active
NW01_MAT-100160,NW01,Plates,MAT-100160,XL420/PL.11 304TL 0.7mm,127237,T-70664-C,PRESS_5,N/52130857,2.021,3397,A,Active
NW01_MAT-100163,NW01,Plates,MAT-100163,PRO-12X/PL.14 304TL 0.6mm,215730,T-70132-D,PRESS_5,N/59542168,1.513,259554,B,Active
NW01_MAT-100179,NW01,Plates,MAT-100179,HT80/PL.30 304TL 0.3mm,165640,T-70692-A,PRESS_6,N/51578939,2.128,313865,C,Active
NW01_MAT-100182,NW01,Plates,MAT-100182,S140/PL.33 304TL 0.5mm,135084,T-70585-D,PRESS_5,N/55411847,1.442,188471,A,Phase-out
NW01_MAT-100184,NW01,Plates,MAT-100184,XL420/PL.35 304TL 0.8mm,45511,T-70446-B,PRESS_6,N/53194059,2.302,151470,C,Active
NW01_MAT-100185,NW01,Plates,MAT-100185,XL520/PL.36 304TL 0.4mm,23358,T-70600-C,PRESS_5,N/56570960,2.303,170653,C,Active
NW01_MAT-100186,NW01,Plates,MAT-100186,PRO-9X/PL.37 304TL 0.4mm,104716,T-70568-C,GRINDING_1,N/50006448,1.308,102074,B,Active
NW01_MAT-100203,NW01,Plates,MAT-100203,HT80/PL.04 304TL 0.5mm,34317,T-70540-C,PRESS_6,N/51485565,1.529,64134,A,Active
NW01_MAT-100209,NW01,Plates,MAT-100209,XL520/PL.10 304TL 0.6mm,148491,T-70250-A,,N/52901833,2.47,208445,B,Phase-out
NW01_MAT-100214,NW01,Plates,MAT-100214,MX250/PL.15 304TL 0.7mm,85623,T-70037-C,EXTRUSION_1,N/58307038,0.98,234281,A,Active
NW01_MAT-100221,NW01,Plates,MAT-100221,XL520/PL.22 304TL 0.5mm,230826,T-70514-A,PRESS_5,N/56077933,1.815,7501,B,Phase-out
NW01_MAT-100225,NW01,Plates,MAT-100225,MX200/PL.26 304TL 0.5mm,80415,T-70567-B,PRESS_1,N/52210784,0.966,261551,A,Active
NW01_MAT-100226,NW01,Plates,MAT-100226,MX250/PL.27 304TL 0.7mm,131913,T-70395-A,PRESS_1,N/55154884,1.37,11414,A,Active
NW01_MAT-100230,NW01,Plates,MAT-100230,S140/PL.31 304TL 0.5mm,234011,T-70465-C,GRINDING_1,N/56421740,1.641,271986,A,Active
NW01_MAT-100239,NW01,Plates,MAT-100239,HT80/PL.40 304TL 0.5mm,27037,T-70250-A,PRESS_6,N/50628978,2.106,169849,B,Phase-out
NW01_MAT-100242,NW01,Plates,MAT-100242,S140/PL.43 304TL 0.3mm,19457,T-70010-C,PRESS_3,N/52049698,1.576,231673,A,Active
NW01_MAT-100247,NW01,Plates,MAT-100247,PRO-12X/PL.48 304TL 0.7mm,228307,T-70038-A,PRESS_5,N/52257086,1.52,123843,B,Active
NW01_MAT-100249,NW01,Plates,MAT-100249,MX200/PL.50 304TL 0.4mm,146959,T-70684-A,PRESS_2,N/51598701,1.349,261030,B,Active
NW01_MAT-100252,NW01,Plates,MAT-100252,S62/PL.03 304TL 0.4mm,175432,T-70200-D,PRESS_4,N/55274264,1.377,103525,B,Active
NW01_MAT-100264,NW01,Plates,MAT-100264,S62/PL.15 304TL 0.8mm,53626,T-70557-B,PRESS_3,N/58310209,1.374,226417,C,Active
NW01_MAT-100269,NW01,Plates,MAT-100269,XL520/PL.20 304TL 0.5mm,208937,T-70228-A,PRESS_5,N/59001845,2.157,247697,B,Active
NW01_MAT-100270,NW01,Plates,MAT-100270,PRO-9X/PL.21 304TL 0.7mm,34385,T-70196-A,PRESS_6,N/58728882,1.933,312088,B,Active
NW01_MAT-100273,NW01,Plates,MAT-100273,MX200/PL.24 304TL 0.4mm,8745,T-70005-C,ASSY_1,N/53490695,1.055,108617,C,Phase-out
NW01_MAT-100277,NW01,Plates,MAT-100277,S120/PL.28 304TL 0.3mm,239643,T-70467-A,PRESS_1,N/57861014,1.337,262325,C,Active
NW01_MAT-100282,NW01,Plates,MAT-100282,PRO-9X/PL.33 304TL 0.6mm,54696,T-70174-C,PRESS_3,N/57942575,1.536,273990,B,Active
NW01_MAT-100283,NW01,Plates,MAT-100283,PRO-12X/PL.34 304TL 0.4mm,183411,T-70446-B,PRESS_6,N/50113944,1.902,87110,B,Phase-out
NW01_MAT-100284,NW01,Plates,MAT-100284,MX100/PL.35 304TL 0.7mm,136801,T-70197-C,EXTRUSION_1,N/50181375,1.443,6291,C,Phase-out
NW01_MAT-100286,NW01,Plates,MAT-100286,MX250/PL.37 304TL 0.4mm,178759,T-70487-A,PRESS_1,N/56275967,1.459,112782,B,Active
NW01_MAT-100287,NW01,Plates,MAT-100287,HT80/PL.38 304TL 0.3mm,229168,T-70477-A,PRESS_5,N/53671219,1.448,282811,A,Active
NW01_MAT-100290,NW01,Plates,MAT-100290,S140/PL.41 304TL 0.6mm,21572,T-70297-D,PRESS_1,N/53251735,1.006,29474,C,Active
NW01_MAT-100294,NW01,Plates,MAT-100294,PRO-9X/PL.45 304TL 0.4mm,162733,T-70597-B,PRESS_3,N/59323612,1.318,82626,A,Active
NW01_MAT-100299,NW01,Plates,MAT-100299,HT80/PL.50 304TL 0.8mm,248811,T-70111-D,PRESS_5,N/58837669,1.551,192305,A,Active
NW01_MAT-100301,NW01,Plates,MAT-100301,S120/PL.02 304TL 0.4mm,36969,T-70299-C,,N/56236492,1.362,199937,B,Active
NW01_MAT-100305,NW01,Plates,MAT-100305,XL520/PL.06 304TL 0.5mm,202907,T-70265-A,PRESS_5,N/53223428,1.654,163705,A,Active
NW01_MAT-100311,NW01,Plates,MAT-100311,HT80/PL.12 304TL 0.7mm,200979,T-70225-C,PRESS_6,N/50823539,2.223,174438,B,Phase-out
NW01_MAT-100315,NW01,Plates,MAT-100315,S160/PL.16 304TL 0.6mm,18957,T-70206-A,EXTRUSION_1,N/53251596,1.322,306455,C,Active
NW01_MAT-100317,NW01,Plates,MAT-100317,XL520/PL.18 304TL 0.5mm,256379,T-70191-C,PRESS_6,N/54466725,2.536,172446,A,Active
NW01_MAT-100325,NW01,Plates,MAT-100325,S120/PL.26 304TL 0.3mm,140704,T-70627-A,PRESS_2,N/57944421,1.314,290727,B,Active
NW01_MAT-100329,NW01,Plates,MAT-100329,XL520/PL.30 304TL 0.6mm,142031,T-70225-C,PRESS_5,N/55371409,2.628,86512,A,Active
NW01_MAT-100337,NW01,Plates,MAT-100337,S120/PL.38 304TL 0.4mm,245890,T-70331-A,PRESS_4,N/53325802,1.203,83307,B,Active
NW01_MAT-100339,NW01,Plates,MAT-100339,S160/PL.40 304TL 0.5mm,229036,T-70022-D,PRESS_1,N/51988736,1.455,123333,A,Active
NW01_MAT-100343,NW01,Plates,MAT-100343,PRO-12X/PL.44 304TL 0.7mm,158371,T-70586-D,PRESS_3,N/58802517,1.783,6253,B,Phase-out
NW01_MAT-100345,NW01,Plates,MAT-100345,MX200/PL.46 304TL 0.6mm,28530,T-70646-C,GRINDING_1,N/50630944,1.384,34475,A,Active
NW01_MAT-100350,NW01,Plates,MAT-100350,S140/PL.01 304TL 0.7mm,86956,T-70256-A,ASSY_1,N/58474424,1.394,212913,B,Active
NW01_MAT-100353,NW01,Plates,MAT-100353,XL520/PL.04 304TL 0.5mm,120534,T-70001-A,PRESS_5,N/54101691,2.123,132360,A,Active
NW01_MAT-100359,NW01,Plates,MAT-100359,HT80/PL.10 304TL 0.4mm,9694,T-70400-A,PRESS_5,N/51209717,1.734,197955,A,Active
NW01_MAT-100360,NW01,Plates,MAT-100360,S62/PL.11 304TL 0.5mm,170289,T-70374-C,PRESS_4,N/59556953,1.479,107670,B,Active
NW01_MAT-100367,NW01,Plates,MAT-100367,PRO-12X/PL.18 304TL 0.4mm,171736,T-70333-B,PRESS_5,N/54780812,1.558,270924,A,Active
NW01_MAT-100370,NW01,Plates,MAT-100370,MX250/PL.21 304TL 0.8mm,14720,T-70221-D,GRINDING_1,N/55043106,1.038,277770,B,Active
NW01_MAT-100374,NW01,Plates,MAT-100374,S140/PL.25 304TL 0.7mm,238710,T-70429-D,GRINDING_1,N/51420691,1.539,264504,B,Active
NW01_MAT-100380,NW01,Plates,MAT-100380,MX100/PL.31 304TL 0.6mm,212952,T-70221-D,ASSY_1,N/52675723,1.498,310627,B,Active
NW01_MAT-100395,NW01,Plates,MAT-100395,HT80/PL.46 304TL 0.4mm,155609,T-70495-D,PRESS_5,N/55595412,1.556,282358,A,Phase-out
NW01_MAT-100398,NW01,Plates,MAT-100398,S140/PL.49 304TL 0.5mm,243124,T-70055-D,EXTRUSION_1,N/53247837,1.262,234435,C,Active
NW01_MAT-100416,NW01,Plates,MAT-100416,MX100/PL.17 304TL 0.7mm,206287,T-70442-C,GRINDING_1,N/56340187,1.389,67018,C,Phase-out
NW01_MAT-100420,NW01,Plates,MAT-100420,S62/PL.21 304TL 0.5mm,256533,T-70393-B,PRESS_4,N/59082633,0.983,143357,C,Active
NW01_MAT-100422,NW01,Plates,MAT-100422,S140/PL.23 304TL 0.5mm,72542,T-70394-D,EXTRUSION_1,N/53936232,1.331,112545,B,Phase-out
NW01_MAT-100436,NW01,Plates,MAT-100436,XL420/PL.37 304TL 0.4mm,134290,T-70259-B,PRESS_5,N/53062759,1.699,276525,C,Active
NW01_MAT-100440,NW01,Plates,MAT-100440,MX100/PL.41 304TL 0.5mm,222237,T-70563-B,GRINDING_1,N/53859966,1.276,95207,B,Phase-out
NW01_MAT-100444,NW01,Plates,MAT-100444,S62/PL.45 304TL 0.8mm,126458,T-70539-D,PRESS_2,N/58258682,1.33,272095,C,Phase-out
NW01_MAT-100447,NW01,Plates,MAT-100447,S160/PL.48 304TL 0.4mm,81084,T-70005-C,GRINDING_1,N/56122995,1.162,154741,C,Active
NW01_MAT-100449,NW01,Plates,MAT-100449,XL520/PL.50 304TL 0.7mm,57345,T-70495-D,PRESS_5,N/56115281,2.474,288597,B,Active
NW01_MAT-100454,NW01,Plates,MAT-100454,MX250/PL.05 304TL 0.6mm,185600,T-70510-B,ASSY_1,N/57473300,1.465,16600,B,Active
NW01_MAT-100461,NW01,Plates,MAT-100461,XL520/PL.12 304TL 0.7mm,180711,T-70167-C,PRESS_6,N/54576644,2.04,155816,B,Active
NW01_MAT-100463,NW01,Plates,MAT-100463,PRO-12X/PL.14 304TL 0.7mm,35199,T-70061-C,GRINDING_1,N/53595731,1.731,50587,B,Active
NW01_MAT-100464,NW01,Plates,MAT-100464,MX100/PL.15 304TL 0.4mm,183378,T-70318-D,PRESS_2,N/52066929,1.132,234584,C,Active
NW01_MAT-100468,NW01,Plates,MAT-100468,S62/PL.19 304TL 0.8mm,241352,T-70170-C,GRINDING_1,N/51858326,0.942,45611,A,Active
NW01_MAT-100472,NW01,Plates,MAT-100472,XL420/PL.23 304TL 0.6mm,255253,T-70186-D,PRESS_5,N/56973455,1.921,102356,B,Phase-out
NW01_MAT-100473,NW01,Plates,MAT-100473,XL520/PL.24 304TL 0.4mm,81623,T-70630-B,PRESS_5,N/51149342,1.801,263507,C,Active
NW01_MAT-100477,NW01,Plates,MAT-100477,MX200/PL.28 304TL 0.4mm,57218,T-70522-A,PRESS_3,N/50055607,1.133,237116,A,Active
NW01_MAT-100479,NW01,Plates,MAT-100479,HT80/PL.30 304TL 0.7mm,106891,T-70362-A,PRESS_6,N/58504781,1.879,105827,D,Active
NW01_MAT-100482,NW01,Plates,MAT-100482,S140/PL.33 304TL 0.8mm,170977,T-70399-B,PRESS_2,N/58010852,1.59,147214,B,Phase-out
NW01_MAT-100492,NW01,Plates,MAT-100492,S62/PL.43 304TL 0.5mm,91134,T-70436-A,PRESS_6,N/53503180,1.328,229907,A,Phase-out
NW01_MAT-100496,NW01,Plates,MAT-100496,XL420/PL.47 304TL 0.5mm,174742,T-70400-A,PRESS_6,N/59092824,2.563,131298,B,Phase-out
NW01_MAT-100500,NW01,Plates,MAT-100500,MX100/PL.01 304TL 0.3mm,241320,T-70685-D,ASSY_1,N/57881328,1.271,11761,C,Active
NW01_MAT-100509,NW01,Plates,MAT-100509,XL520/PL.10 304TL 0.5mm,152288,T-70390-D,PRESS_5,N/54606156,2.032,163799,B,Active
NW01_MAT-100513,NW01,Plates,MAT-100513,MX200/PL.14 304TL 0.6mm,199498,T-70305-C,PRESS_4,N/50881900,1.015,258926,A,Active
NW01_MAT-100514,NW01,Plates,MAT-100514,MX250/PL.15 304TL 0.4mm,102130,T-70546-B,PRESS_4,N/56203447,1.154,106993,C,Phase-out
NW01_MAT-100516,NW01,Plates,MAT-100516,S62/PL.17 304TL 0.6mm,95803,T-70587-C,PRESS_2,N/50413244,0.936,306984,B,Active
NW01_MAT-100518,NW01,Plates,MAT-100518,S140/PL.19 304TL 0.6mm,227771,T-70435-D,PRESS_1,N/54972626,1.527,265230,B,Active
NW01_MAT-100519,NW01,Plates,MAT-100519,S160/PL.20 304TL 0.7mm,247276,T-70629-D,PRESS_6,N/58035026,1.384,138347,C,Active
NW01_MAT-100520,NW01,Plates,MAT-100520,XL420/PL.21 304TL 0.7mm,230521,T-70292-C,PRESS_6,N/58736207,1.82,150342,B,Active
NW01_MAT-100525,NW01,Plates,MAT-100525,MX200/PL.26 304TL 0.6mm,115247,T-70301-A,PRESS_4,N/53383203,1.298,315609,A,Active
NW01_MAT-100528,NW01,Plates,MAT-100528,S62/PL.29 304TL 0.7mm,25159,T-70011-C,GRINDING_1,N/57200433,1.298,218298,B,Active
NW01_MAT-100529,NW01,Plates,MAT-100529,S120/PL.30 304TL 0.3mm,46820,T-70632-A,PRESS_5,N/50267030,1.111,239481,A,Active
NW01_MAT-100538,NW01,Plates,MAT-100538,MX250/PL.39 304TL 0.5mm,183095,T-70308-A,PRESS_3,N/52188895,1.347,262725,C,Active
NW01_MAT-100539,NW01,Plates,MAT-100539,HT80/PL.40 304TL 0.5mm,131699,T-70666-C,PRESS_6,N/52744384,1.861,71918,C,Active
NW01_MAT-100540,NW01,Plates,MAT-100540,S62/PL.41 304TL 0.3mm,122511,T-70675-C,PRESS_5,N/58346627,1.364,11255,C,Active
NW01_MAT-100547,NW01,Plates,MAT-100547,PRO-12X/PL.48 304TL 0.6mm,202434,T-70033-C,ASSY_1,N/57740176,1.383,49179,C,Active
NW01_MAT-100552,NW01,Plates,MAT-100552,S62/PL.03 304TL 0.7mm,34830,T-70679-B,PRESS_5,N/56499965,1.099,125316,B,Active
NW01_MAT-100556,NW01,Plates,MAT-100556,XL420/PL.07 304TL 0.3mm,247619,T-70662-A,PRESS_5,N/57349160,2.209,271225,B,Active
NW01_MAT-100557,NW01,Plates,MAT-100557,XL520/PL.08 304TL 0.7mm,150401,T-70489-C,PRESS_6,N/53099838,2.305,158370,A,Active
NW01_MAT-100558,NW01,Plates,MAT-100558,PRO-9X/PL.09 304TL 0.4mm,8549,T-70203-D,PRESS_6,N/55959795,1.322,289585,C,Active
NW01_MAT-100561,NW01,Plates,MAT-100561,MX200/PL.12 304TL 0.6mm,247063,T-70236-A,ASSY_1,N/52267953,1.363,184389,C,Active
NW01_MAT-100566,NW01,Plates,MAT-100566,S140/PL.17 304TL 0.6mm,74209,T-70327-D,EXTRUSION_1,N/55960326,1.458,27953,A,Active
NW01_MAT-100580,NW01,Plates,MAT-100580,XL420/PL.31 304TL 0.7mm,57769,T-70581-A,PRESS_6,N/53663624,2.206,114389,A,Phase-out
NW01_MAT-100583,NW01,Plates,MAT-100583,PRO-12X/PL.34 304TL 0.5mm,157062,T-70038-A,PRESS_6,N/50233878,1.719,196971,C,Active
NW01_MAT-100584,NW01,Plates,MAT-100584,MX100/PL.35 304TL 0.7mm,258404,T-70605-A,PRESS_1,N/50717480,1.115,38131,C,Active
NW01_MAT-100587,NW01,Plates,MAT-100587,HT80/PL.38 304TL 0.3mm,199247,T-70614-B,PRESS_6,N/54629147,2.198,291763,B,Active
NW01_MAT-100592,NW01,Plates,MAT-100592,XL420/PL.43 304TL 0.8mm,39083,T-70402-D,PRESS_6,N/58719068,2.185,266026,C,Active
NW01_MAT-100593,NW01,Plates,MAT-100593,XL520/PL.44 304TL 0.6mm,63668,T-70450-C,PRESS_5,N/57475091,1.722,172290,B,Active
NW01_MAT-100596,NW01,Plates,MAT-100596,MX100/PL.47 304TL 0.4mm,220379,T-70661-B,PRESS_1,N/50795482,0.955,68850,C,Phase-out
NW01_MAT-100600,NW01,Plates,MAT-100600,S62/PL.01 304TL 0.3mm,161009,T-70679-B,PRESS_6,N/51325117,1.072,74322,B,Phase-out
NW01_MAT-100604,NW01,Plates,MAT-100604,XL420/PL.05 304TL 0.5mm,113479,T-70270-D,PRESS_6,N/58853284,1.775,289662,D,Active
NW01_MAT-100605,NW01,Plates,MAT-100605,XL520/PL.06 304TL 0.3mm,184700,T-70443-B,PRESS_5,N/53151530,2.665,29518,B,Active
NW01_MAT-100608,NW01,Plates,MAT-100608,MX100/PL.09 304TL 0.5mm,80462,T-70189-C,PRESS_4,N/59196503,1.0,211505,B,Active
NW01_MAT-100610,NW01,Plates,MAT-100610,MX250/PL.11 304TL 0.5mm,20054,T-70189-C,EXTRUSION_1,N/52263246,1.282,169380,C,Active
NW01_MAT-100618,NW01,Plates,MAT-100618,PRO-9X/PL.19 304TL 0.5mm,85270,T-70108-A,PRESS_3,N/50558543,1.269,280333,B,Phase-out
NW01_MAT-100621,NW01,Plates,MAT-100621,MX200/PL.22 304TL 0.8mm,210852,T-70130-A,GRINDING_1,N/52415859,1.223,249382,A,Active
NW01_MAT-100623,NW01,Plates,MAT-100623,HT80/PL.24 304TL 0.6mm,188857,T-70014-D,PRESS_6,N/56708374,1.468,61707,A,Active
NW01_MAT-100625,NW01,Plates,MAT-100625,S120/PL.26 304TL 0.6mm,216196,T-70010-C,PRESS_4,N/59865424,1.127,187319,C,Active
NW01_MAT-100629,NW01,Plates,MAT-100629,XL520/PL.30 304TL 0.6mm,242178,T-70656-C,PRESS_5,N/51743436,1.796,314335,C,Active
NW01_MAT-100633,NW01,Plates,MAT-100633,MX200/PL.34 304TL 0.4mm,68250,T-70583-D,EXTRUSION_1,N/54064069,1.495,222761,C,Phase-out
NW01_MAT-100643,NW01,Plates,MAT-100643,PRO-12X/PL.44 304TL 0.5mm,79243,T-70569-C,ASSY_1,N/56299880,1.575,312103,B,Active
NW01_MAT-100644,NW01,Plates,MAT-100644,MX100/PL.45 304TL 0.5mm,135368,T-70611-D,PRESS_1,N/57113105,0.939,153106,D,Phase-out
NW01_MAT-100646,NW01,Plates,MAT-100646,MX250/PL.47 304TL 0.6mm,120986,T-70331-A,PRESS_3,N/53278086,1.257,196252,B,Active
NW01_MAT-100647,NW01,Plates,MAT-100647,HT80/PL.48 304TL 0.3mm,233374,T-70386-D,PRESS_6,N/56176805,1.396,140441,B,Phase-out
NW01_MAT-100651,NW01,Plates,MAT-100651,S160/PL.02 304TL 0.4mm,186227,T-70448-D,ASSY_1,N/52285116,1.391,173355,A,Active
NW01_MAT-100654,NW01,Plates,MAT-100654,PRO-9X/PL.05 304TL 0.6mm,168413,T-70436-A,PRESS_5,N/56252070,1.761,202359,C,Active
NW01_MAT-100657,NW01,Plates,MAT-100657,MX200/PL.08 304TL 0.5mm,189106,T-70230-A,PRESS_2,N/59087801,1.302,145795,B,Active
NW01_MAT-100662,NW01,Plates,MAT-100662,S140/PL.13 304TL 0.4mm,30865,T-70578-A,ASSY_1,N/54048248,1.535,307555,B,Active
NW01_MAT-100674,NW01,Plates,MAT-100674,S140/PL.25 304TL 0.5mm,227104,T-70559-D,EXTRUSION_1,N/51777315,1.644,75692,C,Active
NW01_MAT-100675,NW01,Plates,MAT-100675,S160/PL.26 304TL 0.3mm,202328,T-70439-C,PRESS_1,N/57517497,1.541,290382,B,Phase-out
NW01_MAT-100676,NW01,Plates,MAT-100676,XL420/PL.27 304TL 0.3mm,243224,T-70265-A,PRESS_6,N/54611897,1.905,152725,B,Phase-out
NW01_MAT-100677,NW01,Plates,MAT-100677,XL520/PL.28 304TL 0.5mm,214367,T-70466-A,PRESS_6,N/59633483,2.405,298936,A,Active
NW01_MAT-100681,NW01,Plates,MAT-100681,MX200/PL.32 304TL 0.7mm,176539,T-70522-A,PRESS_3,N/54197283,1.373,94966,A,Active
NW01_MAT-100683,NW01,Plates,MAT-100683,HT80/PL.34 304TL 0.6mm,46432,T-70008-A,PRESS_5,N/51318496,1.554,311148,C,Active
NW01_MAT-100687,NW01,Plates,MAT-100687,S160/PL.38 304TL 0.5mm,81476,T-70564-A,PRESS_5,N/57830163,1.639,218314,C,Active
NW01_MAT-100691,NW01,Plates,MAT-100691,PRO-12X/PL.42 304TL 0.5mm,207394,T-70286-C,ASSY_1,N/57081804,1.284,103506,A,Active
NW01_MAT-100695,NW01,Plates,MAT-100695,HT80/PL.46 304TL 0.5mm,172990,T-70120-B,PRESS_6,N/55674112,1.808,82459,A,Active
NW01_MAT-100700,NW01,Plates,MAT-100700,XL420/PL.01 304TL 0.5mm,244147,T-70443-B,PRESS_5,N/54693304,1.887,219276,A,Active
NW01_MAT-100701,NW01,Plates,MAT-100701,XL520/PL.02 304TL 0.7mm,257311,T-70405-B,PRESS_6,N/58466999,2.154,230184,B,Active
NW01_MAT-100708,NW01,Plates,MAT-100708,S62/PL.09 304TL 0.5mm,31389,T-70115-C,PRESS_6,N/53844139,1.341,241780,A,Active
NW01_MAT-100711,NW01,Plates,MAT-100711,S160/PL.12 304TL 0.7mm,212816,T-70645-C,PRESS_3,N/51965869,1.155,289774,A,Active
NW01_MAT-100717,NW01,Plates,MAT-100717,MX200/PL.18 304TL 0.5mm,217903,T-70088-D,EXTRUSION_1,N/56206317,1.206,144535,A,Active
NW01_MAT-100719,NW01,Plates,MAT-100719,HT80/PL.20 304TL 0.7mm,19319,T-70652-C,PRESS_5,N/56457169,2.111,306274,D,Active
NW01_MAT-100722,NW01,Plates,MAT-100722,S140/PL.23 304TL 0.7mm,192464,T-70490-C,PRESS_1,N/59402728,1.059,68421,A,Active
