Header Material,Component Material,Header Material code,Component Material code,Component Quantity,Component BUoM,Component Description,Production LT in Weeks,Component Scrap (perc),Assembly Scrap (perc),Component Scrap Factor,Assembly Scrap Factor,Total Scrap Factor,Effective Component Quantity,Plant,Header OPS Group,Component OPS Group,Comp Plate/Gasket,Header Description,Version,Usage,BOM Status
P01_NW01_MAT-100140,P01_NW01_RM-COIL-HC276,MAT-100140,RM-COIL-HC276,7.129,KG,COIL HASTELLOY C276 1250mm 0.5mm,3,0.053,0.026,1.053,1.026,1.0804,7.702,P01_NW01_Northwind Midwest,OPS-MX100,RM-COIL,Plates,MX100/PL.41 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100141,P01_NW01_RM-COIL-NI,MAT-100141,RM-COIL-NI,5.838,KG,COIL NICKEL 1200mm 0.35mm,4,0.053,0.023,1.053,1.023,1.0772,6.289,P01_NW01_Northwind Midwest,OPS-MX200,RM-COIL,Plates,MX200/PL.42 304TL 0.3mm,1,1,Active
P01_NW01_MAT-100141,P01_NW01_RM-COIL-AL,MAT-100141,RM-COIL-AL,4.812,KG,COIL ALUMINUM 1300mm 0.6mm,2,0.024,0.012,1.024,1.012,1.0363,4.987,P01_NW01_Northwind Midwest,OPS-MX200,RM-COIL,Plates,MX200/PL.42 304TL 0.3mm,1,1,Active
P01_NW01_MAT-100146,P01_NW01_RM-COIL-SS304,MAT-100146,RM-COIL-SS304,5.812,KG,COIL SS304 1250mm 0.4mm,4,0.03,0.014,1.03,1.014,1.0444,6.07,P01_NW01_Northwind Midwest,OPS-S140,RM-COIL,Plates,S140/PL.47 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100147,P01_NW01_RM-COIL-TI,MAT-100147,RM-COIL-TI,6.039,KG,COIL TITANIUM 1200mm 0.4mm,2,0.01,0.027,1.01,1.027,1.0373,6.264,P01_NW01_Northwind Midwest,OPS-S160,RM-COIL,Plates,S160/PL.48 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100147,P01_NW01_RM-COIL-NI,MAT-100147,RM-COIL-NI,5.682,KG,COIL NICKEL 1200mm 0.35mm,4,0.015,0.013,1.015,1.013,1.0282,5.842,P01_NW01_Northwind Midwest,OPS-S160,RM-COIL,Plates,S160/PL.48 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100150,P01_NW01_RM-COIL-NI,MAT-100150,RM-COIL-NI,8.506,KG,COIL NICKEL 1200mm 0.35mm,4,0.04,0.018,1.04,1.018,1.0587,9.005,P01_NW01_Northwind Midwest,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.01 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100150,P01_NW01_RM-COIL-HC276,MAT-100150,RM-COIL-HC276,10.9,KG,COIL HASTELLOY C276 1250mm 0.5mm,4,0.05,0.028,1.05,1.028,1.0794,11.765,P01_NW01_Northwind Midwest,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.01 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100159,P01_NW01_RM-COIL-HC276,MAT-100159,RM-COIL-HC276,7.82,KG,COIL HASTELLOY C276 1250mm 0.5mm,2,0.048,0.02,1.048,1.02,1.069,8.36,P01_NW01_Northwind Midwest,OPS-S160,RM-COIL,Plates,S160/PL.10 304TL 0.6mm,1,1,Active
P01_NW01_MAT-100160,P01_NW01_RM-COIL-SS316,MAT-100160,RM-COIL-SS316,12.873,KG,COIL SS316 1250mm 0.5mm,3,0.028,0.01,1.028,1.01,1.0383,13.366,P01_NW01_Northwind Midwest,OPS-XL420,RM-COIL,Plates,XL420/PL.11 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100160,P01_NW01_RM-COIL-AL,MAT-100160,RM-COIL-AL,8.843,KG,COIL ALUMINUM 1300mm 0.6mm,3,0.025,0.014,1.025,1.014,1.0393,9.191,P01_NW01_Northwind Midwest,OPS-XL420,RM-COIL,Plates,XL420/PL.11 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100163,P01_NW01_RM-COIL-TI,MAT-100163,RM-COIL-TI,5.764,KG,COIL TITANIUM 1200mm 0.4mm,2,0.039,0.008,1.039,1.008,1.0473,6.037,P01_NW01_Northwind Midwest,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.14 304TL 0.6mm,1,1,Active
P01_NW01_MAT-100179,P01_NW01_RM-COIL-AL,MAT-100179,RM-COIL-AL,10.281,KG,COIL ALUMINUM 1300mm 0.6mm,4,0.027,0.011,1.027,1.011,1.0383,10.675,P01_NW01_Northwind Midwest,OPS-HT80,RM-COIL,Plates,HT80/PL.30 304TL 0.3mm,1,1,Active
P01_NW01_MAT-100182,P01_NW01_RM-COIL-HC276,MAT-100182,RM-COIL-HC276,7.696,KG,COIL HASTELLOY C276 1250mm 0.5mm,4,0.024,0.01,1.024,1.01,1.0342,7.959,P01_NW01_Northwind Midwest,OPS-S140,RM-COIL,Plates,S140/PL.33 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100184,P01_NW01_RM-COIL-AL,MAT-100184,RM-COIL-AL,7.62,KG,COIL ALUMINUM 1300mm 0.6mm,8,0.044,0.012,1.044,1.012,1.0565,8.051,P01_NW01_Northwind Midwest,OPS-XL420,RM-COIL,Plates,XL420/PL.35 304TL 0.8mm,1,1,Active
P01_NW01_MAT-100185,P01_NW01_RM-COIL-AL,MAT-100185,RM-COIL-AL,8.87,KG,COIL ALUMINUM 1300mm 0.6mm,2,0.05,0.013,1.05,1.013,1.0636,9.434,P01_NW01_Northwind Midwest,OPS-XL520,RM-COIL,Plates,XL520/PL.36 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100186,P01_NW01_RM-COIL-AL,MAT-100186,RM-COIL-AL,5.877,KG,COIL ALUMINUM 1300mm 0.6mm,6,0.057,0.023,1.057,1.023,1.0813,6.355,P01_NW01_Northwind Midwest,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.37 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100203,P01_NW01_RM-COIL-HC276,MAT-100203,RM-COIL-HC276,12.338,KG,COIL HASTELLOY C276 1250mm 0.5mm,2,0.027,0.01,1.027,1.01,1.0373,12.798,P01_NW01_Northwind Midwest,OPS-HT80,RM-COIL,Plates,HT80/PL.04 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100209,P01_NW01_RM-COIL-SS316,MAT-100209,RM-COIL-SS316,11.768,KG,COIL SS316 1250mm 0.5mm,6,0.02,0.007,1.02,1.007,1.0271,12.087,P01_NW01_Northwind Midwest,OPS-XL520,RM-COIL,Plates,XL520/PL.10 304TL 0.6mm,1,1,Active
P01_NW01_MAT-100214,P01_NW01_RM-COIL-AL,MAT-100214,RM-COIL-AL,4.524,KG,COIL ALUMINUM 1300mm 0.6mm,8,0.028,0.015,1.028,1.015,1.0434,4.72,P01_NW01_Northwind Midwest,OPS-MX250,RM-COIL,Plates,MX250/PL.15 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100221,P01_NW01_RM-COIL-HC276,MAT-100221,RM-COIL-HC276,12.883,KG,COIL HASTELLOY C276 1250mm 0.5mm,4,0.025,0.027,1.025,1.027,1.0527,13.562,P01_NW01_Northwind Midwest,OPS-XL520,RM-COIL,Plates,XL520/PL.22 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100225,P01_NW01_RM-COIL-NI,MAT-100225,RM-COIL-NI,5.071,KG,COIL NICKEL 1200mm 0.35mm,2,0.018,0.028,1.018,1.028,1.0465,5.307,P01_NW01_Northwind Midwest,OPS-MX200,RM-COIL,Plates,MX200/PL.26 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100226,P01_NW01_RM-COIL-SS316,MAT-100226,RM-COIL-SS316,5.875,KG,COIL SS316 1250mm 0.5mm,6,0.015,0.006,1.015,1.006,1.0211,5.999,P01_NW01_Northwind Midwest,OPS-MX250,RM-COIL,Plates,MX250/PL.27 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100230,P01_NW01_RM-COIL-SS316,MAT-100230,RM-COIL-SS316,6.798,KG,COIL SS316 1250mm 0.5mm,2,0.042,0.017,1.042,1.017,1.0597,7.204,P01_NW01_Northwind Midwest,OPS-S140,RM-COIL,Plates,S140/PL.31 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100239,P01_NW01_RM-COIL-SS304,MAT-100239,RM-COIL-SS304,9.988,KG,COIL SS304 1250mm 0.4mm,2,0.034,0.007,1.034,1.007,1.0412,10.4,P01_NW01_Northwind Midwest,OPS-HT80,RM-COIL,Plates,HT80/PL.40 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100239,P01_NW01_RM-COIL-AL,MAT-100239,RM-COIL-AL,8.052,KG,COIL ALUMINUM 1300mm 0.6mm,4,0.047,0.023,1.047,1.023,1.0711,8.624,P01_NW01_Northwind Midwest,OPS-HT80,RM-COIL,Plates,HT80/PL.40 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100242,P01_NW01_RM-COIL-TI,MAT-100242,RM-COIL-TI,6.29,KG,COIL TITANIUM 1200mm 0.4mm,2,0.036,0.021,1.036,1.021,1.0578,6.654,P01_NW01_Northwind Midwest,OPS-S140,RM-COIL,Plates,S140/PL.43 304TL 0.3mm,1,1,Active
P01_NW01_MAT-100247,P01_NW01_RM-COIL-SS304,MAT-100247,RM-COIL-SS304,9.282,KG,COIL SS304 1250mm 0.4mm,3,0.044,0.024,1.044,1.024,1.0691,9.923,P01_NW01_Northwind Midwest,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.48 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100249,P01_NW01_RM-COIL-SS316,MAT-100249,RM-COIL-SS316,6.353,KG,COIL SS316 1250mm 0.5mm,3,0.052,0.024,1.052,1.024,1.0772,6.843,P01_NW01_Northwind Midwest,OPS-MX200,RM-COIL,Plates,MX200/PL.50 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100249,P01_NW01_RM-COIL-AL,MAT-100249,RM-COIL-AL,4.376,KG,COIL ALUMINUM 1300mm 0.6mm,2,0.038,0.021,1.038,1.021,1.0598,4.638,P01_NW01_Northwind Midwest,OPS-MX200,RM-COIL,Plates,MX200/PL.50 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100252,P01_NW01_RM-COIL-HC276,MAT-100252,RM-COIL-HC276,8.188,KG,COIL HASTELLOY C276 1250mm 0.5mm,6,0.039,0.008,1.039,1.008,1.0473,8.575,P01_NW01_Northwind Midwest,OPS-S62,RM-COIL,Plates,S62/PL.03 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100252,P01_NW01_RM-COIL-TI,MAT-100252,RM-COIL-TI,5.984,KG,COIL TITANIUM 1200mm 0.4mm,2,0.044,0.025,1.044,1.025,1.0701,6.403,P01_NW01_Northwind Midwest,OPS-S62,RM-COIL,Plates,S62/PL.03 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100264,P01_NW01_RM-COIL-AL,MAT-100264,RM-COIL-AL,4.09,KG,COIL ALUMINUM 1300mm 0.6mm,8,0.014,0.009,1.014,1.009,1.0231,4.184,P01_NW01_Northwind Midwest,OPS-S62,RM-COIL,Plates,S62/PL.15 304TL 0.8mm,1,1,Active
P01_NW01_MAT-100269,P01_NW01_RM-COIL-AL,MAT-100269,RM-COIL-AL,9.396,KG,COIL ALUMINUM 1300mm 0.6mm,6,0.014,0.005,1.014,1.005,1.0191,9.575,P01_NW01_Northwind Midwest,OPS-XL520,RM-COIL,Plates,XL520/PL.20 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100270,P01_NW01_RM-COIL-NI,MAT-100270,RM-COIL-NI,7.76,KG,COIL NICKEL 1200mm 0.35mm,4,0.057,0.029,1.057,1.029,1.0877,8.441,P01_NW01_Northwind Midwest,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.21 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100273,P01_NW01_RM-COIL-NI,MAT-100273,RM-COIL-NI,6.457,KG,COIL NICKEL 1200mm 0.35mm,3,0.056,0.014,1.056,1.014,1.0708,6.914,P01_NW01_Northwind Midwest,OPS-MX200,RM-COIL,Plates,MX200/PL.24 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100273,P01_NW01_RM-COIL-TI,MAT-100273,RM-COIL-TI,5.671,KG,COIL TITANIUM 1200mm 0.4mm,6,0.049,0.016,1.049,1.016,1.0658,6.044,P01_NW01_Northwind Midwest,OPS-MX200,RM-COIL,Plates,MX200/PL.24 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100277,P01_NW01_RM-COIL-SS304,MAT-100277,RM-COIL-SS304,7.215,KG,COIL SS304 1250mm 0.4mm,2,0.018,0.018,1.018,1.018,1.0363,7.477,P01_NW01_Northwind Midwest,OPS-S120,RM-COIL,Plates,S120/PL.28 304TL 0.3mm,1,1,Active
P01_NW01_MAT-100277,P01_NW01_RM-COIL-TI,MAT-100277,RM-COIL-TI,5.507,KG,COIL TITANIUM 1200mm 0.4mm,2,0.048,0.024,1.048,1.024,1.0732,5.91,P01_NW01_Northwind Midwest,OPS-S120,RM-COIL,Plates,S120/PL.28 304TL 0.3mm,1,1,Active
P01_NW01_MAT-100282,P01_NW01_RM-COIL-TI,MAT-100282,RM-COIL-TI,5.906,KG,COIL TITANIUM 1200mm 0.4mm,3,0.054,0.014,1.054,1.014,1.0688,6.312,P01_NW01_Northwind Midwest,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.33 304TL 0.6mm,1,1,Active
P01_NW01_MAT-100283,P01_NW01_RM-COIL-SS304,MAT-100283,RM-COIL-SS304,7.722,KG,COIL SS304 1250mm 0.4mm,4,0.017,0.013,1.017,1.013,1.0302,7.955,P01_NW01_Northwind Midwest,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.34 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100284,P01_NW01_RM-COIL-AL,MAT-100284,RM-COIL-AL,4.972,KG,COIL ALUMINUM 1300mm 0.6mm,4,0.026,0.016,1.026,1.016,1.0424,5.183,P01_NW01_Northwind Midwest,OPS-MX100,RM-COIL,Plates,MX100/PL.35 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100286,P01_NW01_RM-COIL-NI,MAT-100286,RM-COIL-NI,6.02,KG,COIL NICKEL 1200mm 0.35mm,2,0.035,0.026,1.035,1.026,1.0619,6.393,P01_NW01_Northwind Midwest,OPS-MX250,RM-COIL,Plates,MX250/PL.37 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100287,P01_NW01_RM-COIL-HC276,MAT-100287,RM-COIL-HC276,13.151,KG,COIL HASTELLOY C276 1250mm 0.5mm,2,0.047,0.011,1.047,1.011,1.0585,13.92,P01_NW01_Northwind Midwest,OPS-HT80,RM-COIL,Plates,HT80/PL.38 304TL 0.3mm,1,1,Active
P01_NW01_MAT-100290,P01_NW01_RM-COIL-SS316,MAT-100290,RM-COIL-SS316,8.455,KG,COIL SS316 1250mm 0.5mm,2,0.028,0.009,1.028,1.009,1.0373,8.77,P01_NW01_Northwind Midwest,OPS-S140,RM-COIL,Plates,S140/PL.41 304TL 0.6mm,1,1,Active
P01_NW01_MAT-100294,P01_NW01_RM-COIL-NI,MAT-100294,RM-COIL-NI,8.436,KG,COIL NICKEL 1200mm 0.35mm,6,0.055,0.021,1.055,1.021,1.0772,9.087,P01_NW01_Northwind Midwest,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.45 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100299,P01_NW01_RM-COIL-AL,MAT-100299,RM-COIL-AL,10.195,KG,COIL ALUMINUM 1300mm 0.6mm,3,0.038,0.007,1.038,1.007,1.0453,10.657,P01_NW01_Northwind Midwest,OPS-HT80,RM-COIL,Plates,HT80/PL.50 304TL 0.8mm,1,1,Active
P01_NW01_MAT-100299,P01_NW01_RM-COIL-TI,MAT-100299,RM-COIL-TI,9.585,KG,COIL TITANIUM 1200mm 0.4mm,3,0.031,0.023,1.031,1.023,1.0547,10.109,P01_NW01_Northwind Midwest,OPS-HT80,RM-COIL,Plates,HT80/PL.50 304TL 0.8mm,1,1,Active
P01_NW01_MAT-100301,P01_NW01_RM-COIL-AL,MAT-100301,RM-COIL-AL,4.328,KG,COIL ALUMINUM 1300mm 0.6mm,2,0.035,0.023,1.035,1.023,1.0588,4.582,P01_NW01_Northwind Midwest,OPS-S120,RM-COIL,Plates,S120/PL.02 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100301,P01_NW01_RM-COIL-SS304,MAT-100301,RM-COIL-SS304,6.642,KG,COIL SS304 1250mm 0.4mm,6,0.032,0.03,1.032,1.03,1.063,7.06,P01_NW01_Northwind Midwest,OPS-S120,RM-COIL,Plates,S120/PL.02 304TL 0.4mm,1,1,Active
