P80 - Plant Material: Plant without system,P80 - Plant Material: Code,P80 - Plant Material: Pure Material,P80 - Plant Material: Material Description,P80 - Plant Material: Operations Group,P80 - Plant Material: Mixed MRP
NW01,P01_NW01_MAT-100078,MAT-100078,PRO-9X/PL.29 304TL 0.8mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100083,MAT-100083,HT80/PL.34 304TL 0.7mm,OPS-HT80,True
NW01,P01_NW01_MAT-100084,MAT-100084,S62/PL.35 304TL 0.6mm,OPS-S62,True
NW01,P01_NW01_MAT-100090,MAT-100090,PRO-9X/PL.41 304TL 0.8mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100098,MAT-100098,S140/PL.49 304TL 0.6mm,OPS-S140,False
NW01,P01_NW01_MAT-100114,MAT-100114,PRO-9X/PL.15 304TL 0.7mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100119,MAT-100119,HT80/PL.20 304TL 0.4mm,OPS-HT80,False
NW01,P01_NW01_MAT-100123,MAT-100123,S160/PL.24 304TL 0.4mm,OPS-S160,True
NW01,P01_NW01_MAT-100126,MAT-100126,PRO-9X/PL.27 304TL 0.5mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100130,MAT-100130,MX250/PL.31 304TL 0.7mm,OPS-MX250,True
NW01,P01_NW01_MAT-100131,MAT-100131,HT80/PL.32 304TL 0.4mm,OPS-HT80,False
NW01,P01_NW01_MAT-100134,MAT-100134,S140/PL.35 304TL 0.6mm,OPS-S140,True
NW01,P01_NW01_MAT-100140,MAT-100140,MX100/PL.41 304TL 0.5mm,OPS-MX100,True
NW01,P01_NW01_MAT-100141,MAT-100141,MX200/PL.42 304TL 0.3mm,OPS-MX200,True
NW01,P01_NW01_MAT-100146,MAT-100146,S140/PL.47 304TL 0.4mm,OPS-S140,True
NW01,P01_NW01_MAT-100147,MAT-100147,S160/PL.48 304TL 0.7mm,OPS-S160,True
NW01,P01_NW01_MAT-100150,MAT-100150,PRO-9X/PL.01 304TL 0.5mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100159,MAT-100159,S160/PL.10 304TL 0.6mm,OPS-S160,True
NW01,P01_NW01_MAT-100160,MAT-100160,XL420/PL.11 304TL 0.7mm,OPS-XL420,True
NW01,P01_NW01_MAT-100163,MAT-100163,PRO-12X/PL.14 304TL 0.6mm,OPS-PRO-12X,False
NW01,P01_NW01_MAT-100179,MAT-100179,HT80/PL.30 304TL 0.3mm,OPS-HT80,False
NW01,P01_NW01_MAT-100182,MAT-100182,S140/PL.33 304TL 0.5mm,OPS-S140,True
NW01,P01_NW01_MAT-100184,MAT-100184,XL420/PL.35 304TL 0.8mm,OPS-XL420,False
NW01,P01_NW01_MAT-100185,MAT-100185,XL520/PL.36 304TL 0.4mm,OPS-XL520,True
NW01,P01_NW01_MAT-100186,MAT-100186,PRO-9X/PL.37 304TL 0.4mm,OPS-PRO-9X,False
NW01,P01_NW01_MAT-100203,MAT-100203,HT80/PL.04 304TL 0.5mm,OPS-HT80,False
NW01,P01_NW01_MAT-100209,MAT-100209,XL520/PL.10 304TL 0.6mm,OPS-XL520,False
NW01,P01_NW01_MAT-100214,MAT-100214,MX250/PL.15 304TL 0.7mm,OPS-MX250,False
NW01,P01_NW01_MAT-100221,MAT-100221,XL520/PL.22 304TL 0.5mm,OPS-XL520,True
NW01,P01_NW01_MAT-100225,MAT-100225,MX200/PL.26 304TL 0.5mm,OPS-MX200,False
NW01,P01_NW01_MAT-100226,MAT-100226,MX250/PL.27 304TL 0.7mm,OPS-MX250,False
NW01,P01_NW01_MAT-100230,MAT-100230,S140/PL.31 304TL 0.5mm,OPS-S140,True
NW01,P01_NW01_MAT-100239,MAT-100239,HT80/PL.40 304TL 0.5mm,OPS-HT80,True
NW01,P01_NW01_MAT-100242,MAT-100242,S140/PL.43 304TL 0.3mm,OPS-S140,True
NW01,P01_NW01_MAT-100247,MAT-100247,PRO-12X/PL.48 304TL 0.7mm,OPS-PRO-12X,True
NW01,P01_NW01_MAT-100249,MAT-100249,MX200/PL.50 304TL 0.4mm,OPS-MX200,False
NW01,P01_NW01_MAT-100252,MAT-100252,S62/PL.03 304TL 0.4mm,OPS-S62,True
NW01,P01_NW01_MAT-100264,MAT-100264,S62/PL.15 304TL 0.8mm,OPS-S62,False
NW01,P01_NW01_MAT-100269,MAT-100269,XL520/PL.20 304TL 0.5mm,OPS-XL520,False
NW01,P01_NW01_MAT-100270,MAT-100270,PRO-9X/PL.21 304TL 0.7mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100273,MAT-100273,MX200/PL.24 304TL 0.4mm,OPS-MX200,False
NW01,P01_NW01_MAT-100277,MAT-100277,S120/PL.28 304TL 0.3mm,OPS-S120,False
NW01,P01_NW01_MAT-100282,MAT-100282,PRO-9X/PL.33 304TL 0.6mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100283,MAT-100283,PRO-12X/PL.34 304TL 0.4mm,OPS-PRO-12X,False
NW01,P01_NW01_MAT-100284,MAT-100284,MX100/PL.35 304TL 0.7mm,OPS-MX100,False
NW01,P01_NW01_MAT-100286,MAT-100286,MX250/PL.37 304TL 0.4mm,OPS-MX250,True
NW01,P01_NW01_MAT-100287,MAT-100287,HT80/PL.38 304TL 0.3mm,OPS-HT80,False
NW01,P01_NW01_MAT-100290,MAT-100290,S140/PL.41 304TL 0.6mm,OPS-S140,False
NW01,P01_NW01_MAT-100294,MAT-100294,PRO-9X/PL.45 304TL 0.4mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100299,MAT-100299,HT80/PL.50 304TL 0.8mm,OPS-HT80,False
NW01,P01_NW01_MAT-100301,MAT-100301,S120/PL.02 304TL 0.4mm,OPS-S120,True
NW01,P01_NW01_MAT-100305,MAT-100305,XL520/PL.06 304TL 0.5mm,OPS-XL520,False
NW01,P01_NW01_MAT-100311,MAT-100311,HT80/PL.12 304TL 0.7mm,OPS-HT80,True
NW01,P01_NW01_MAT-100315,MAT-100315,S160/PL.16 304TL 0.6mm,OPS-S160,True
NW01,P01_NW01_MAT-100317,MAT-100317,XL520/PL.18 304TL 0.5mm,OPS-XL520,False
NW01,P01_NW01_MAT-100325,MAT-100325,S120/PL.26 304TL 0.3mm,OPS-S120,True
NW01,P01_NW01_MAT-100329,MAT-100329,XL520/PL.30 304TL 0.6mm,OPS-XL520,False
NW01,P01_NW01_MAT-100337,MAT-100337,S120/PL.38 304TL 0.4mm,OPS-S120,False
NW01,P01_NW01_MAT-100339,MAT-100339,S160/PL.40 304TL 0.5mm,OPS-S160,True
NW01,P01_NW01_MAT-100343,MAT-100343,PRO-12X/PL.44 304TL 0.7mm,OPS-PRO-12X,False
NW01,P01_NW01_MAT-100345,MAT-100345,MX200/PL.46 304TL 0.6mm,OPS-MX200,False
NW01,P01_NW01_MAT-100350,MAT-100350,S140/PL.01 304TL 0.7mm,OPS-S140,True
NW01,P01_NW01_MAT-100353,MAT-100353,XL520/PL.04 304TL 0.5mm,OPS-XL520,True
NW01,P01_NW01_MAT-100359,MAT-100359,HT80/PL.10 304TL 0.4mm,OPS-HT80,False
NW01,P01_NW01_MAT-100360,MAT-100360,S62/PL.11 304TL 0.5mm,OPS-S62,True
NW01,P01_NW01_MAT-100367,MAT-100367,PRO-12X/PL.18 304TL 0.4mm,OPS-PRO-12X,True
NW01,P01_NW01_MAT-100370,MAT-100370,MX250/PL.21 304TL 0.8mm,OPS-MX250,True
NW01,P01_NW01_MAT-100374,MAT-100374,S140/PL.25 304TL 0.7mm,OPS-S140,True
NW01,P01_NW01_MAT-100380,MAT-100380,MX100/PL.31 304TL 0.6mm,OPS-MX100,False
NW01,P01_NW01_MAT-100395,MAT-100395,HT80/PL.46 304TL 0.4mm,OPS-HT80,False
NW01,P01_NW01_MAT-100398,MAT-100398,S140/PL.49 304TL 0.5mm,OPS-S140,True
NW01,P01_NW01_MAT-100416,MAT-100416,MX100/PL.17 304TL 0.7mm,OPS-MX100,False
NW01,P01_NW01_MAT-100420,MAT-100420,S62/PL.21 304TL 0.5mm,OPS-S62,False
NW01,P01_NW01_MAT-100422,MAT-100422,S140/PL.23 304TL 0.5mm,OPS-S140,False
NW01,P01_NW01_MAT-100436,MAT-100436,XL420/PL.37 304TL 0.4mm,OPS-XL420,True
NW01,P01_NW01_MAT-100440,MAT-100440,MX100/PL.41 304TL 0.5mm,OPS-MX100,False
NW01,P01_NW01_MAT-100444,MAT-100444,S62/PL.45 304TL 0.8mm,OPS-S62,False
NW01,P01_NW01_MAT-100447,MAT-100447,S160/PL.48 304TL 0.4mm,OPS-S160,True
NW01,P01_NW01_MAT-100449,MAT-100449,XL520/PL.50 304TL 0.7mm,OPS-XL520,False
NW01,P01_NW01_MAT-100454,MAT-100454,MX250/PL.05 304TL 0.6mm,OPS-MX250,True
NW01,P01_NW01_MAT-100461,MAT-100461,XL520/PL.12 304TL 0.7mm,OPS-XL520,False
NW01,P01_NW01_MAT-100463,MAT-100463,PRO-12X/PL.14 304TL 0.7mm,OPS-PRO-12X,False
NW01,P01_NW01_MAT-100464,MAT-100464,MX100/PL.15 304TL 0.4mm,OPS-MX100,True
NW01,P01_NW01_MAT-100468,MAT-100468,S62/PL.19 304TL 0.8mm,OPS-S62,False
NW01,P01_NW01_MAT-100472,MAT-100472,XL420/PL.23 304TL 0.6mm,OPS-XL420,False
NW01,P01_NW01_MAT-100473,MAT-100473,XL520/PL.24 304TL 0.4mm,OPS-XL520,False
NW01,P01_NW01_MAT-100477,MAT-100477,MX200/PL.28 304TL 0.4mm,OPS-MX200,False
NW01,P01_NW01_MAT-100479,MAT-100479,HT80/PL.30 304TL 0.7mm,OPS-HT80,False
NW01,P01_NW01_MAT-100482,MAT-100482,S140/PL.33 304TL 0.8mm,OPS-S140,True
NW01,P01_NW01_MAT-100492,MAT-100492,S62/PL.43 304TL 0.5mm,OPS-S62,False
NW01,P01_NW01_MAT-100496,MAT-100496,XL420/PL.47 304TL 0.5mm,OPS-XL420,False
NW01,P01_NW01_MAT-100500,MAT-100500,MX100/PL.01 304TL 0.3mm,OPS-MX100,False
NW01,P01_NW01_MAT-100509,MAT-100509,XL520/PL.10 304TL 0.5mm,OPS-XL520,False
NW01,P01_NW01_MAT-100513,MAT-100513,MX200/PL.14 304TL 0.6mm,OPS-MX200,True
NW01,P01_NW01_MAT-100514,MAT-100514,MX250/PL.15 304TL 0.4mm,OPS-MX250,False
NW01,P01_NW01_MAT-100516,MAT-100516,S62/PL.17 304TL 0.6mm,OPS-S62,False
NW01,P01_NW01_MAT-100518,MAT-100518,S140/PL.19 304TL 0.6mm,OPS-S140,True
NW01,P01_NW01_MAT-100519,MAT-100519,S160/PL.20 304TL 0.7mm,OPS-S160,False
NW01,P01_NW01_MAT-100520,MAT-100520,XL420/PL.21 304TL 0.7mm,OPS-XL420,False
NW01,P01_NW01_MAT-100525,MAT-100525,MX200/PL.26 304TL 0.6mm,OPS-MX200,True
NW01,P01_NW01_MAT-100528,MAT-100528,S62/PL.29 304TL 0.7mm,OPS-S62,True
NW01,P01_NW01_MAT-100529,MAT-100529,S120/PL.30 304TL 0.3mm,OPS-S120,True
NW01,P01_NW01_MAT-100538,MAT-100538,MX250/PL.39 304TL 0.5mm,OPS-MX250,True
NW01,P01_NW01_MAT-100539,MAT-100539,HT80/PL.40 304TL 0.5mm,OPS-HT80,False
NW01,P01_NW01_MAT-100540,MAT-100540,S62/PL.41 304TL 0.3mm,OPS-S62,True
NW01,P01_NW01_MAT-100547,MAT-100547,PRO-12X/PL.48 304TL 0.6mm,OPS-PRO-12X,False
NW01,P01_NW01_MAT-100552,MAT-100552,S62/PL.03 304TL 0.7mm,OPS-S62,True
NW01,P01_NW01_MAT-100556,MAT-100556,XL420/PL.07 304TL 0.3mm,OPS-XL420,False
NW01,P01_NW01_MAT-100557,MAT-100557,XL520/PL.08 304TL 0.7mm,OPS-XL520,False
NW01,P01_NW01_MAT-100558,MAT-100558,PRO-9X/PL.09 304TL 0.4mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100561,MAT-100561,MX200/PL.12 304TL 0.6mm,OPS-MX200,True
NW01,P01_NW01_MAT-100566,MAT-100566,S140/PL.17 304TL 0.6mm,OPS-S140,True
NW01,P01_NW01_MAT-100580,MAT-100580,XL420/PL.31 304TL 0.7mm,OPS-XL420,True
NW01,P01_NW01_MAT-100583,MAT-100583,PRO-12X/PL.34 304TL 0.5mm,OPS-PRO-12X,True
NW01,P01_NW01_MAT-100584,MAT-100584,MX100/PL.35 304TL 0.7mm,OPS-MX100,False
NW01,P01_NW01_MAT-100587,MAT-100587,HT80/PL.38 304TL 0.3mm,OPS-HT80,True
NW01,P01_NW01_MAT-100592,MAT-100592,XL420/PL.43 304TL 0.8mm,OPS-XL420,False
NW01,P01_NW01_MAT-100593,MAT-100593,XL520/PL.44 304TL 0.6mm,OPS-XL520,False
NW01,P01_NW01_MAT-100596,MAT-100596,MX100/PL.47 304TL 0.4mm,OPS-MX100,True
NW01,P01_NW01_MAT-100600,MAT-100600,S62/PL.01 304TL 0.3mm,OPS-S62,True
NW01,P01_NW01_MAT-100604,MAT-100604,XL420/PL.05 304TL 0.5mm,OPS-XL420,True
NW01,P01_NW01_MAT-100605,MAT-100605,XL520/PL.06 304TL 0.3mm,OPS-XL520,False
NW01,P01_NW01_MAT-100608,MAT-100608,MX100/PL.09 304TL 0.5mm,OPS-MX100,False
NW01,P01_NW01_MAT-100610,MAT-100610,MX250/PL.11 304TL 0.5mm,OPS-MX250,True
NW01,P01_NW01_MAT-100618,MAT-100618,PRO-9X/PL.19 304TL 0.5mm,OPS-PRO-9X,False
NW01,P01_NW01_MAT-100621,MAT-100621,MX200/PL.22 304TL 0.8mm,OPS-MX200,False
NW01,P01_NW01_MAT-100623,MAT-100623,HT80/PL.24 304TL 0.6mm,OPS-HT80,True
NW01,P01_NW01_MAT-100625,MAT-100625,S120/PL.26 304TL 0.6mm,OPS-S120,True
NW01,P01_NW01_MAT-100629,MAT-100629,XL520/PL.30 304TL 0.6mm,OPS-XL520,True
NW01,P01_NW01_MAT-100633,MAT-100633,MX200/PL.34 304TL 0.4mm,OPS-MX200,False
NW01,P01_NW01_MAT-100643,MAT-100643,PRO-12X/PL.44 304TL 0.5mm,OPS-PRO-12X,False
NW01,P01_NW01_MAT-100644,MAT-100644,MX100/PL.45 304TL 0.5mm,OPS-MX100,True
NW01,P01_NW01_MAT-100646,MAT-100646,MX250/PL.47 304TL 0.6mm,OPS-MX250,True
NW01,P01_NW01_MAT-100647,MAT-100647,HT80/PL.48 304TL 0.3mm,OPS-HT80,False
NW01,P01_NW01_MAT-100651,MAT-100651,S160/PL.02 304TL 0.4mm,OPS-S160,False
NW01,P01_NW01_MAT-100654,MAT-100654,PRO-9X/PL.05 304TL 0.6mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100657,MAT-100657,MX200/PL.08 304TL 0.5mm,OPS-MX200,True
NW01,P01_NW01_MAT-100662,MAT-100662,S140/PL.13 304TL 0.4mm,OPS-S140,True
NW01,P01_NW01_MAT-100674,MAT-100674,S140/PL.25 304TL 0.5mm,OPS-S140,False
NW01,P01_NW01_MAT-100675,MAT-100675,S160/PL.26 304TL 0.3mm,OPS-S160,False
NW01,P01_NW01_MAT-100676,MAT-100676,XL420/PL.27 304TL 0.3mm,OPS-XL420,True
NW01,P01_NW01_MAT-100677,MAT-100677,XL520/PL.28 304TL 0.5mm,OPS-XL520,False
NW01,P01_NW01_MAT-100681,MAT-100681,MX200/PL.32 304TL 0.7mm,OPS-MX200,True
NW01,P01_NW01_MAT-100683,MAT-100683,HT80/PL.34 304TL 0.6mm,OPS-HT80,True
NW01,P01_NW01_MAT-100687,MAT-100687,S160/PL.38 304TL 0.5mm,OPS-S160,True
NW01,P01_NW01_MAT-100691,MAT-100691,PRO-12X/PL.42 304TL 0.5mm,OPS-PRO-12X,False
NW01,P01_NW01_MAT-100695,MAT-100695,HT80/PL.46 304TL 0.5mm,OPS-HT80,True
NW01,P01_NW01_MAT-100700,MAT-100700,XL420/PL.01 304TL 0.5mm,OPS-XL420,False
NW01,P01_NW01_MAT-100701,MAT-100701,XL520/PL.02 304TL 0.7mm,OPS-XL520,False
NW01,P01_NW01_MAT-100708,MAT-100708,S62/PL.09 304TL 0.5mm,OPS-S62,False
NW01,P01_NW01_MAT-100711,MAT-100711,S160/PL.12 304TL 0.7mm,OPS-S160,True
NW01,P01_NW01_MAT-100717,MAT-100717,MX200/PL.18 304TL 0.5mm,OPS-MX200,True
NW01,P01_NW01_MAT-100719,MAT-100719,HT80/PL.20 304TL 0.7mm,OPS-HT80,True
NW01,P01_NW01_MAT-100722,MAT-100722,S140/PL.23 304TL 0.7mm,OPS-S140,False
NW01,P01_NW01_MAT-100723,MAT-100723,S160/PL.24 304TL 0.7mm,OPS-S160,False
NW01,P01_NW01_MAT-100725,MAT-100725,XL520/PL.26 304TL 0.5mm,OPS-XL520,False
NW01,P01_NW01_MAT-100726,MAT-100726,PRO-9X/PL.27 304TL 0.7mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100732,MAT-100732,S62/PL.33 304TL 0.7mm,OPS-S62,False
NW01,P01_NW01_MAT-100741,MAT-100741,MX200/PL.42 304TL 0.5mm,OPS-MX200,True
NW01,P01_NW01_MAT-100753,MAT-100753,MX200/PL.04 304TL 0.3mm,OPS-MX200,False
NW01,P01_NW01_MAT-100754,MAT-100754,MX250/PL.05 304TL 0.4mm,OPS-MX250,False
NW01,P01_NW01_MAT-100761,MAT-100761,XL520/PL.12 304TL 0.8mm,OPS-XL520,True
NW01,P01_NW01_MAT-100762,MAT-100762,PRO-9X/PL.13 304TL 0.7mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100765,MAT-100765,MX200/PL.16 304TL 0.7mm,OPS-MX200,True
NW01,P01_NW01_MAT-100780,MAT-100780,S62/PL.31 304TL 0.8mm,OPS-S62,False
NW01,P01_NW01_MAT-100785,MAT-100785,XL520/PL.36 304TL 0.8mm,OPS-XL520,False
NW01,P01_NW01_MAT-100789,MAT-100789,MX200/PL.40 304TL 0.5mm,OPS-MX200,False
NW01,P01_NW01_MAT-100791,MAT-100791,HT80/PL.42 304TL 0.3mm,OPS-HT80,True
NW01,P01_NW01_MAT-100792,MAT-100792,S62/PL.43 304TL 0.6mm,OPS-S62,False
NW01,P01_NW01_MAT-100793,MAT-100793,S120/PL.44 304TL 0.7mm,OPS-S120,False
NW01,P01_NW01_MAT-100804,MAT-100804,S62/PL.05 304TL 0.4mm,OPS-S62,True
NW01,P01_NW01_MAT-100808,MAT-100808,XL420/PL.09 304TL 0.4mm,OPS-XL420,False
NW01,P01_NW01_MAT-100810,MAT-100810,PRO-9X/PL.11 304TL 0.3mm,OPS-PRO-9X,False
NW01,P01_NW01_MAT-100811,MAT-100811,PRO-12X/PL.12 304TL 0.4mm,OPS-PRO-12X,False
NW01,P01_NW01_MAT-100817,MAT-100817,S120/PL.18 304TL 0.5mm,OPS-S120,True
NW01,P01_NW01_MAT-100818,MAT-100818,S140/PL.19 304TL 0.6mm,OPS-S140,False
NW01,P01_NW01_MAT-100820,MAT-100820,XL420/PL.21 304TL 0.7mm,OPS-XL420,False
NW01,P01_NW01_MAT-100822,MAT-100822,PRO-9X/PL.23 304TL 0.7mm,OPS-PRO-9X,True
NW01,P01_NW01_MAT-100824,MAT-100824,MX100/PL.25 304TL 0.7mm,OPS-MX100,False
NW01,P01_NW01_MAT-100839,MAT-100839,HT80/PL.40 304TL 0.4mm,OPS-HT80,False
NW01,P01_NW01_MAT-100841,MAT-100841,S120/PL.42 304TL 0.3mm,OPS-S120,True
NW01,P01_NW01_MAT-100845,MAT-100845,XL520/PL.46 304TL 0.6mm,OPS-XL520,True
NW01,P01_NW01_MAT-100846,MAT-100846,PRO-9X/PL.47 304TL 0.3mm,OPS-PRO-9X,False
NW01,P01_NW01_MAT-100853,MAT-100853,S120/PL.04 304TL 0.7mm,OPS-S120,True
NW01,P01_NW01_MAT-100856,MAT-100856,XL420/PL.07 304TL 0.5mm,OPS-XL420,True
NW01,P01_NW01_MAT-100862,MAT-100862,MX250/PL.13 304TL 0.3mm,OPS-MX250,False
NW01,P01_NW01_MAT-100863,MAT-100863,HT80/PL.14 304TL 0.4mm,OPS-HT80,False
NW01,P01_NW01_MAT-100875,MAT-100875,HT80/PL.26 304TL 0.5mm,OPS-HT80,True
NW01,P01_NW01_MAT-100878,MAT-100878,S140/PL.29 304TL 0.7mm,OPS-S140,True
NW01,P01_NW01_MAT-100881,MAT-100881,XL520/PL.32 304TL 0.4mm,OPS-XL520,False
NW01,P01_NW01_MAT-100887,MAT-100887,HT80/PL.38 304TL 0.7mm,OPS-HT80,False
NW01,P01_NW01_MAT-100890,MAT-100890,S140/PL.41 304TL 0.5mm,OPS-S140,True
NW01,P01_NW01_MAT-100895,MAT-100895,PRO-12X/PL.46 304TL 0.7mm,OPS-PRO-12X,True
NW01,P01_NW01_MAT-100903,MAT-100903,S160/PL.04 304TL 0.5mm,OPS-S160,True
NW01,P01_NW01_MAT-100908,MAT-100908,MX100/PL.09 304TL 0.8mm,OPS-MX100,True
NW01,P01_NW01_MAT-100909,MAT-100909,MX200/PL.10 304TL 0.6mm,OPS-MX200,False
NW01,P01_NW01_MAT-100913,MAT-100913,S120/PL.14 304TL 0.3mm,OPS-S120,True
NW01,P01_NW01_MAT-100915,MAT-100915,S160/PL.16 304TL 0.4mm,OPS-S160,False
NW01,P01_NW01_MAT-100916,MAT-100916,XL420/PL.17 304TL 0.3mm,OPS-XL420,False
NW01,P01_NW01_MAT-100926,MAT-100926,S140/PL.27 304TL 0.7mm,OPS-S140,False
NW01,P01_NW01_MAT-100932,MAT-100932,MX100/PL.33 304TL 0.8mm,OPS-MX100,True
NW01,P01_NW01_MAT-100943,MAT-100943,PRO-12X/PL.44 304TL 0.7mm,OPS-PRO-12X,False
NW01,P01_NW01_MAT-100949,MAT-100949,S120/PL.50 304TL 0.7mm,OPS-S120,False
NW01,P01_NW01_MAT-100954,MAT-100954,PRO-9X/PL.05 304TL 0.5mm,OPS-PRO-9X,False
NW01,P01_NW01_MAT-100956,MAT-100956,MX100/PL.07 304TL 0.6mm,OPS-MX100,True
NW01,P01_NW01_MAT-100958,MAT-100958,MX250/PL.09 304TL 0.5mm,OPS-MX250,True
NW01,P01_NW01_MAT-100960,MAT-100960,S62/PL.11 304TL 0.5mm,OPS-S62,True
NW01,P01_NW01_MAT-100963,MAT-100963,S160/PL.14 304TL 0.4mm,OPS-S160,True
NW01,P01_NW01_MAT-100964,MAT-100964,XL420/PL.15 304TL 0.6mm,OPS-XL420,False
NW01,P01_NW01_MAT-100965,MAT-100965,XL520/PL.16 304TL 0.4mm,OPS-XL520,False
NW01,P01_NW01_MAT-100967,MAT-100967,PRO-12X/PL.18 304TL 0.7mm,OPS-PRO-12X,False
NW01,P01_NW01_MAT-100970,MAT-100970,MX250/PL.21 304TL 0.6mm,OPS-MX250,False
NW01,P01_NW01_MAT-100971,MAT-100971,HT80/PL.22 304TL 0.7mm,OPS-HT80,True
NW01,P01_NW01_MAT-100977,MAT-100977,XL520/PL.28 304TL 0.5mm,OPS-XL520,True
NW01,P01_NW01_MAT-100980,MAT-100980,MX100/PL.31 304TL 0.3mm,OPS-MX100,False
NW01,P01_NW01_MAT-100984,MAT-100984,S62/PL.35 304TL 0.7mm,OPS-S62,False
NW01,P01_NW01_MAT-100989,MAT-100989,XL520/PL.40 304TL 0.6mm,OPS-XL520,True
NW01,P01_NW01_MAT-100993,MAT-100993,MX200/PL.44 304TL 0.7mm,OPS-MX200,False
NW01,P01_NW01_MAT-100998,MAT-100998,S140/PL.49 304TL 0.8mm,OPS-S140,False
NW01,P01_NW01_MAT-101001,MAT-101001,XL520/PL.02 304TL 0.5mm,OPS-XL520,True
NW01,P01_NW01_MAT-101002,MAT-101002,PRO-9X/PL.03 304TL 0.7mm,OPS-PRO-9X,False
NW01,P01_NW01_MAT-101009,MAT-101009,S120/PL.10 304TL 0.3mm,OPS-S120,False
NW01,P01_NW01_MAT-101010,MAT-101010,S140/PL.11 304TL 0.6mm,OPS-S140,True
NW01,P01_NW01_MAT-101012,MAT-101012,XL420/PL.13 304TL 0.7mm,OPS-XL420,True
NW01,P01_NW01_MAT-101017,MAT-101017,MX200/PL.18 304TL 0.6mm,OPS-MX200,False
NW01,P01_NW01_MAT-101020,MAT-101020,S62/PL.21 304TL 0.3mm,OPS-S62,False
NW01,P01_NW01_MAT-101021,MAT-101021,S120/PL.22 304TL 0.5mm,OPS-S120,True
NW01,P01_NW01_MAT-101022,MAT-101022,S140/PL.23 304TL 0.6mm,OPS-S140,False
NW01,P01_NW01_MAT-101023,MAT-101023,S160/PL.24 304TL 0.5mm,OPS-S160,False
NW01,P01_NW01_MAT-101027,MAT-101027,PRO-12X/PL.28 304TL 0.5mm,OPS-PRO-12X,True
NW01,P01_NW01_MAT-101032,MAT-101032,S62/PL.33 304TL 0.4mm,OPS-S62,True
NW01,P01_NW01_MAT-101045,MAT-101045,S120/PL.46 304TL 0.6mm,OPS-S120,False
NW01,P01_NW01_MAT-101058,MAT-101058,S140/PL.09 304TL 0.6mm,OPS-S140,False
NW01,P01_NW01_MAT-101067,MAT-101067,HT80/PL.18 304TL 0.7mm,OPS-HT80,True
NW01,P01_NW01_MAT-101070,MAT-101070,S140/PL.21 304TL 0.3mm,OPS-S140,True
NW01,P01_NW01_MAT-101073,MAT-101073,XL520/PL.24 304TL 0.5mm,OPS-XL520,True
NW01,P01_NW01_MAT-101080,MAT-101080,S62/PL.31 304TL 0.5mm,OPS-S62,True
