Sap code,Description,Old Material Number,Base Unit of Measure,Material Type,ABC (SAP),Procurement Type,In House Production Time (WD),Production LT Weeks,Transportation Lanes Lead Time (CD),Planned Delivery Time (MARC) (CD),Standard Cost in EUR,Avg Sales Price in EUR,G35 - Plant,G37 - Vendor,P45 - Supply Group,P55 - Operations Group,Is Network Material,BOM Material,BOM Header,BOM Component
MAT-100061,S120/PL.12 304TL 0.5mm,OLD-100061,PC,FERT,B,E,21,6,21,45,27.3,177.74,NW01,V-99439,SG-61,OPS-S120,N,MAT-100061,BH-4784,BC-3203
MAT-100063,S160/PL.14 304TL 0.3mm,OLD-100063,PC,ROH,C,E,14,2,30,28,46.47,89.59,NW01,V-98096,SG-109,OPS-S160,N,MAT-100063,BH-4233,BC-2564
MAT-100064,XL420/PL.15 304TL 0.8mm,OLD-100064,PC,HALB,A,X,14,4,7,28,107.31,209.19,NW01,V-60423,SG-13,OPS-XL420,Y,MAT-100064,BH-9860,BC-5077
MAT-100067,PRO-12X/PL.18 304TL 0.8mm,OLD-100067,PC,HALB,B,X,5,8,7,14,61.62,80.79,NW01,V-21813,SG-79,OPS-PRO-12X,Y,MAT-100067,BH-5396,BC-1050
MAT-100070,MX250/PL.21 304TL 0.3mm,OLD-100070,PC,ROH,A,E,10,2,30,45,59.72,173.65,NW01,V-31834,SG-78,OPS-MX250,Y,MAT-100070,BH-1727,BC-4727
MAT-100073,S120/PL.24 304TL 0.5mm,OLD-100073,PC,ROH,A,E,5,6,21,45,56.29,33.12,NW01,V-63214,SG-56,OPS-S120,Y,MAT-100073,BH-4093,BC-3254
MAT-100075,S160/PL.26 304TL 0.3mm,OLD-100075,PC,FERT,A,F,5,2,14,14,75.11,192.94,NW01,V-29727,SG-115,OPS-S160,N,MAT-100075,BH-3334,BC-1726
MAT-100078,PRO-9X/PL.29 304TL 0.8mm,OLD-100078,PC,HALB,C,E,10,4,14,14,72.64,193.92,NW01,V-25939,SG-14,OPS-PRO-9X,Y,MAT-100078,BH-3567,BC-8755
MAT-100083,HT80/PL.34 304TL 0.7mm,OLD-100083,PC,HALB,C,X,7,8,14,28,74.17,6.06,NW01,V-58716,SG-53,OPS-HT80,Y,MAT-100083,BH-1375,BC-6729
MAT-100084,S62/PL.35 304TL 0.6mm,OLD-100084,PC,FERT,C,E,21,8,30,45,33.94,82.87,NW01,V-19342,SG-119,OPS-S62,N,MAT-100084,BH-8045,BC-5296
MAT-100090,PRO-9X/PL.41 304TL 0.8mm,OLD-100090,PC,ROH,B,X,5,4,30,28,110.52,198.45,NW01,V-97232,SG-80,OPS-PRO-9X,Y,MAT-100090,BH-3003,BC-5335
MAT-100098,S140/PL.49 304TL 0.6mm,OLD-100098,PC,HALB,C,F,14,8,30,60,102.04,109.65,NW01,V-88340,SG-113,OPS-S140,Y,MAT-100098,BH-1231,BC-2808
MAT-100114,PRO-9X/PL.15 304TL 0.7mm,OLD-100114,PC,FERT,A,X,5,6,30,28,63.06,193.77,NW01,V-90021,SG-89,OPS-PRO-9X,N,MAT-100114,BH-3116,BC-2090
MAT-100119,HT80/PL.20 304TL 0.4mm,OLD-100119,PC,FERT,A,F,14,6,21,28,39.47,179.62,NW01,V-53570,SG-68,OPS-HT80,Y,MAT-100119,BH-9762,BC-2160
MAT-100123,S160/PL.24 304TL 0.4mm,OLD-100123,PC,FERT,B,E,5,2,14,60,17.41,157.07,NW01,V-51324,SG-32,OPS-S160,N,MAT-100123,BH-8805,BC-3008
MAT-100126,PRO-9X/PL.27 304TL 0.5mm,OLD-100126,PC,ROH,C,E,21,8,7,28,22.39,12.22,NW01,V-43833,SG-22,OPS-PRO-9X,Y,MAT-100126,BH-2977,BC-8219
MAT-100130,MX250/PL.31 304TL 0.7mm,OLD-100130,PC,ROH,B,X,14,6,14,28,16.76,51.02,NW01,V-61764,SG-119,OPS-MX250,N,MAT-100130,BH-7086,BC-2361
MAT-100131,HT80/PL.32 304TL 0.4mm,OLD-100131,PC,FERT,B,X,10,6,14,21,40.18,23.16,NW01,V-25033,SG-93,OPS-HT80,Y,MAT-100131,BH-2583,BC-4204
MAT-100134,S140/PL.35 304TL 0.6mm,OLD-100134,PC,HALB,B,X,7,8,30,21,82.18,124.27,NW01,V-87488,SG-114,OPS-S140,N,MAT-100134,BH-4609,BC-8045
MAT-100140,MX100/PL.41 304TL 0.5mm,OLD-100140,PC,FERT,A,F,21,4,30,28,31.35,193.41,NW01,V-34947,SG-109,OPS-MX100,Y,MAT-100140,BH-1929,BC-3719
MAT-100141,MX200/PL.42 304TL 0.3mm,OLD-100141,PC,HALB,C,X,5,8,21,35,99.77,151.94,NW01,V-94254,SG-25,OPS-MX200,N,MAT-100141,BH-3754,BC-2194
MAT-100146,S140/PL.47 304TL 0.4mm,OLD-100146,PC,ROH,A,F,14,3,14,21,93.68,133.24,NW01,V-38981,SG-22,OPS-S140,Y,MAT-100146,BH-6282,BC-5116
MAT-100147,S160/PL.48 304TL 0.7mm,OLD-100147,PC,ROH,A,E,14,3,30,14,41.56,119.85,NW01,V-94385,SG-34,OPS-S160,Y,MAT-100147,BH-7136,BC-9213
MAT-100150,PRO-9X/PL.01 304TL 0.5mm,OLD-100150,PC,ROH,B,X,21,8,21,45,70.44,144.44,NW01,V-97301,SG-19,OPS-PRO-9X,Y,MAT-100150,BH-9536,BC-4460
MAT-100159,S160/PL.10 304TL 0.6mm,OLD-100159,PC,HALB,B,F,14,8,7,14,19.75,16.2,NW01,V-66567,SG-119,OPS-S160,Y,MAT-100159,BH-1674,BC-1044
MAT-100160,XL420/PL.11 304TL 0.7mm,OLD-100160,PC,FERT,A,F,14,8,21,35,50.66,35.87,NW01,V-59048,SG-86,OPS-XL420,N,MAT-100160,BH-9133,BC-8676
MAT-100163,PRO-12X/PL.14 304TL 0.6mm,OLD-100163,PC,HALB,A,X,14,6,7,60,28.4,70.95,NW01,V-27355,SG-118,OPS-PRO-12X,Y,MAT-100163,BH-2550,BC-9111
MAT-100179,HT80/PL.30 304TL 0.3mm,OLD-100179,PC,FERT,C,F,5,4,7,14,48.4,159.47,NW01,V-35869,SG-109,OPS-HT80,Y,MAT-100179,BH-4095,BC-7473
MAT-100182,S140/PL.33 304TL 0.5mm,OLD-100182,PC,ROH,A,X,7,4,30,21,43.76,136.6,NW01,V-21392,SG-102,OPS-S140,Y,MAT-100182,BH-3435,BC-8070
MAT-100184,XL420/PL.35 304TL 0.8mm,OLD-100184,PC,ROH,A,F,14,4,14,35,82.86,110.62,NW01,V-52500,SG-23,OPS-XL420,N,MAT-100184,BH-5510,BC-3015
MAT-100185,XL520/PL.36 304TL 0.4mm,OLD-100185,PC,FERT,A,E,10,8,21,60,88.61,132.64,NW01,V-85857,SG-93,OPS-XL520,Y,MAT-100185,BH-5653,BC-9780
MAT-100186,PRO-9X/PL.37 304TL 0.4mm,OLD-100186,PC,ROH,C,E,7,2,21,35,25.67,159.72,NW01,V-29299,SG-74,OPS-PRO-9X,N,MAT-100186,BH-1540,BC-9604
MAT-100203,HT80/PL.04 304TL 0.5mm,OLD-100203,PC,ROH,C,X,14,6,21,14,48.88,126.49,NW01,V-40198,SG-44,OPS-HT80,Y,MAT-100203,BH-1205,BC-8714
MAT-100209,XL520/PL.10 304TL 0.6mm,OLD-100209,PC,FERT,C,X,7,6,21,21,118.73,49.83,NW01,V-52329,SG-73,OPS-XL520,Y,MAT-100209,BH-4768,BC-6485
MAT-100214,MX250/PL.15 304TL 0.7mm,OLD-100214,PC,FERT,B,E,5,8,21,60,71.95,193.13,NW01,V-18561,SG-115,OPS-MX250,N,MAT-100214,BH-1604,BC-5729
MAT-100221,XL520/PL.22 304TL 0.5mm,OLD-100221,PC,ROH,A,X,21,3,14,14,89.06,7.41,NW01,V-64844,SG-93,OPS-XL520,N,MAT-100221,BH-7660,BC-3724
MAT-100225,MX200/PL.26 304TL 0.5mm,OLD-100225,PC,FERT,C,E,14,3,14,45,4.62,168.5,NW01,V-96081,SG-25,OPS-MX200,Y,MAT-100225,BH-2184,BC-1742
MAT-100226,MX250/PL.27 304TL 0.7mm,OLD-100226,PC,ROH,B,E,7,8,14,28,88.37,192.43,NW01,V-13212,SG-52,OPS-MX250,N,MAT-100226,BH-8660,BC-8287
MAT-100230,S140/PL.31 304TL 0.5mm,OLD-100230,PC,FERT,C,X,10,8,7,14,47.94,167.78,NW01,V-82952,SG-97,OPS-S140,Y,MAT-100230,BH-8715,BC-9730
MAT-100239,HT80/PL.40 304TL 0.5mm,OLD-100239,PC,FERT,B,E,5,6,30,60,70.1,19.2,NW01,V-18329,SG-16,OPS-HT80,N,MAT-100239,BH-2266,BC-5903
MAT-100242,S140/PL.43 304TL 0.3mm,OLD-100242,PC,HALB,B,X,21,8,7,60,89.87,152.05,NW01,V-34659,SG-79,OPS-S140,Y,MAT-100242,BH-3337,BC-6508
MAT-100247,PRO-12X/PL.48 304TL 0.7mm,OLD-100247,PC,FERT,C,E,5,4,30,14,8.98,179.0,NW01,V-88224,SG-57,OPS-PRO-12X,N,MAT-100247,BH-9962,BC-4895
MAT-100249,MX200/PL.50 304TL 0.4mm,OLD-100249,PC,ROH,C,F,5,3,7,28,2.71,186.76,NW01,V-34422,SG-57,OPS-MX200,N,MAT-100249,BH-3694,BC-9773
MAT-100252,S62/PL.03 304TL 0.4mm,OLD-100252,PC,ROH,A,F,10,6,30,35,93.74,169.28,NW01,V-63149,SG-74,OPS-S62,N,MAT-100252,BH-7280,BC-5172
MAT-100264,S62/PL.15 304TL 0.8mm,OLD-100264,PC,FERT,A,E,5,6,7,45,40.0,78.81,NW01,V-36699,SG-118,OPS-S62,Y,MAT-100264,BH-8233,BC-5501
MAT-100269,XL520/PL.20 304TL 0.5mm,OLD-100269,PC,ROH,C,F,14,8,7,14,100.43,17.79,NW01,V-91878,SG-104,OPS-XL520,N,MAT-100269,BH-3320,BC-6207
MAT-100270,PRO-9X/PL.21 304TL 0.7mm,OLD-100270,PC,FERT,C,E,5,3,30,60,113.24,105.41,NW01,V-64976,SG-111,OPS-PRO-9X,N,MAT-100270,BH-9464,BC-3677
MAT-100273,MX200/PL.24 304TL 0.4mm,OLD-100273,PC,FERT,B,F,7,8,14,28,51.91,111.39,NW01,V-96383,SG-32,OPS-MX200,N,MAT-100273,BH-2084,BC-3090
MAT-100277,S120/PL.28 304TL 0.3mm,OLD-100277,PC,FERT,C,F,10,3,21,28,95.34,25.83,NW01,V-41694,SG-116,OPS-S120,Y,MAT-100277,BH-8917,BC-2801
MAT-100282,PRO-9X/PL.33 304TL 0.6mm,OLD-100282,PC,ROH,B,X,7,4,21,28,39.47,167.43,NW01,V-25553,SG-32,OPS-PRO-9X,N,MAT-100282,BH-8986,BC-6540
MAT-100283,PRO-12X/PL.34 304TL 0.4mm,OLD-100283,PC,HALB,C,X,14,6,14,35,37.83,173.81,NW01,V-78949,SG-120,OPS-PRO-12X,N,MAT-100283,BH-4561,BC-4459
MAT-100284,MX100/PL.35 304TL 0.7mm,OLD-100284,PC,HALB,A,F,5,2,21,21,40.4,190.25,NW01,V-68957,SG-14,OPS-MX100,N,MAT-100284,BH-5247,BC-5182
MAT-100286,MX250/PL.37 304TL 0.4mm,OLD-100286,PC,ROH,B,E,14,2,7,60,93.28,103.61,NW01,V-79898,SG-16,OPS-MX250,N,MAT-100286,BH-8200,BC-1137
MAT-100287,HT80/PL.38 304TL 0.3mm,OLD-100287,PC,HALB,A,F,7,2,21,35,97.2,22.84,NW01,V-73205,SG-92,OPS-HT80,N,MAT-100287,BH-5636,BC-2498
MAT-100290,S140/PL.41 304TL 0.6mm,OLD-100290,PC,HALB,C,X,10,4,7,60,79.75,201.56,NW01,V-34526,SG-111,OPS-S140,Y,MAT-100290,BH-7846,BC-9426
MAT-100294,PRO-9X/PL.45 304TL 0.4mm,OLD-100294,PC,HALB,A,X,21,4,21,21,6.97,125.23,NW01,V-49873,SG-20,OPS-PRO-9X,N,MAT-100294,BH-6313,BC-2314
MAT-100299,HT80/PL.50 304TL 0.8mm,OLD-100299,PC,HALB,C,F,5,3,14,45,80.67,139.47,NW01,V-42337,SG-36,OPS-HT80,N,MAT-100299,BH-7718,BC-6337
MAT-100301,S120/PL.02 304TL 0.4mm,OLD-100301,PC,ROH,B,X,7,8,14,60,88.18,152.1,NW01,V-32722,SG-53,OPS-S120,Y,MAT-100301,BH-8861,BC-6116
MAT-100305,XL520/PL.06 304TL 0.5mm,OLD-100305,PC,HALB,C,F,10,2,14,14,27.24,196.04,NW01,V-55339,SG-65,OPS-XL520,Y,MAT-100305,BH-5670,BC-5786
MAT-100311,HT80/PL.12 304TL 0.7mm,OLD-100311,PC,ROH,B,F,7,6,7,35,61.54,101.26,NW01,V-21579,SG-89,OPS-HT80,N,MAT-100311,BH-6845,BC-7466
MAT-100315,S160/PL.16 304TL 0.6mm,OLD-100315,PC,FERT,A,F,7,2,14,35,62.12,112.64,NW01,V-48688,SG-81,OPS-S160,N,MAT-100315,BH-4828,BC-8863
MAT-100317,XL520/PL.18 304TL 0.5mm,OLD-100317,PC,FERT,A,X,10,3,30,28,32.13,16.33,NW01,V-48396,SG-26,OPS-XL520,N,MAT-100317,BH-1573,BC-9661
MAT-100325,S120/PL.26 304TL 0.3mm,OLD-100325,PC,FERT,B,E,10,8,21,14,61.95,121.32,NW01,V-76860,SG-36,OPS-S120,Y,MAT-100325,BH-8942,BC-7728
MAT-100329,XL520/PL.30 304TL 0.6mm,OLD-100329,PC,FERT,C,F,10,4,21,45,43.28,185.18,NW01,V-20823,SG-20,OPS-XL520,N,MAT-100329,BH-6643,BC-3314
MAT-100337,S120/PL.38 304TL 0.4mm,OLD-100337,PC,FERT,C,E,14,8,21,14,22.77,11.12,NW01,V-62827,SG-71,OPS-S120,N,MAT-100337,BH-4762,BC-5579
MAT-100339,S160/PL.40 304TL 0.5mm,OLD-100339,PC,HALB,B,E,10,6,21,60,98.05,26.54,NW01,V-57051,SG-23,OPS-S160,N,MAT-100339,BH-2478,BC-8196
MAT-100343,PRO-12X/PL.44 304TL 0.7mm,OLD-100343,PC,FERT,C,X,7,4,7,35,118.95,212.63,NW01,V-98298,SG-105,OPS-PRO-12X,N,MAT-100343,BH-4509,BC-4835
MAT-100345,MX200/PL.46 304TL 0.6mm,OLD-100345,PC,FERT,B,E,5,3,14,45,105.08,28.67,NW01,V-23737,SG-113,OPS-MX200,Y,MAT-100345,BH-4553,BC-3261
MAT-100350,S140/PL.01 304TL 0.7mm,OLD-100350,PC,ROH,B,E,14,3,30,35,58.73,21.8,NW01,V-13953,SG-79,OPS-S140,N,MAT-100350,BH-5229,BC-6675
MAT-100353,XL520/PL.04 304TL 0.5mm,OLD-100353,PC,ROH,C,X,14,2,7,60,24.97,16.87,NW01,V-26952,SG-74,OPS-XL520,Y,MAT-100353,BH-4073,BC-1264
MAT-100359,HT80/PL.10 304TL 0.4mm,OLD-100359,PC,HALB,A,X,21,3,14,45,71.62,84.28,NW01,V-57826,SG-97,OPS-HT80,Y,MAT-100359,BH-7352,BC-4829
MAT-100360,S62/PL.11 304TL 0.5mm,OLD-100360,PC,FERT,B,E,5,2,30,21,48.63,166.58,NW01,V-65987,SG-25,OPS-S62,N,MAT-100360,BH-5488,BC-6901
MAT-100367,PRO-12X/PL.18 304TL 0.4mm,OLD-100367,PC,HALB,B,E,10,3,14,35,18.85,206.91,NW01,V-13128,SG-94,OPS-PRO-12X,Y,MAT-100367,BH-1901,BC-1355
MAT-100370,MX250/PL.21 304TL 0.8mm,OLD-100370,PC,HALB,C,E,5,8,21,45,97.84,129.57,NW01,V-26167,SG-83,OPS-MX250,N,MAT-100370,BH-1553,BC-3227
MAT-100374,S140/PL.25 304TL 0.7mm,OLD-100374,PC,FERT,B,X,14,4,7,45,56.77,92.48,NW01,V-90008,SG-63,OPS-S140,Y,MAT-100374,BH-8044,BC-6416
MAT-100380,MX100/PL.31 304TL 0.6mm,OLD-100380,PC,ROH,A,F,21,8,7,45,27.5,184.12,NW01,V-54321,SG-33,OPS-MX100,N,MAT-100380,BH-4275,BC-7360
MAT-100395,HT80/PL.46 304TL 0.4mm,OLD-100395,PC,ROH,C,X,5,2,21,28,98.02,136.33,NW01,V-12909,SG-90,OPS-HT80,N,MAT-100395,BH-8203,BC-2101
MAT-100398,S140/PL.49 304TL 0.5mm,OLD-100398,PC,HALB,C,F,10,4,14,28,34.21,95.53,NW01,V-60463,SG-69,OPS-S140,N,MAT-100398,BH-2700,BC-3590
MAT-100416,MX100/PL.17 304TL 0.7mm,OLD-100416,PC,HALB,C,E,21,2,30,60,51.75,30.04,NW01,V-39731,SG-87,OPS-MX100,Y,MAT-100416,BH-7107,BC-3920
MAT-100420,S62/PL.21 304TL 0.5mm,OLD-100420,PC,HALB,B,E,7,8,14,60,82.03,80.04,NW01,V-56208,SG-67,OPS-S62,Y,MAT-100420,BH-6951,BC-6672
MAT-100422,S140/PL.23 304TL 0.5mm,OLD-100422,PC,FERT,B,X,10,8,7,45,107.29,27.32,NW01,V-21917,SG-87,OPS-S140,N,MAT-100422,BH-5572,BC-1240
MAT-100436,XL420/PL.37 304TL 0.4mm,OLD-100436,PC,ROH,B,X,5,6,30,14,115.43,53.6,NW01,V-13770,SG-23,OPS-XL420,Y,MAT-100436,BH-8588,BC-2159
MAT-100440,MX100/PL.41 304TL 0.5mm,OLD-100440,PC,HALB,A,X,21,3,7,28,79.0,129.65,NW01,V-52066,SG-51,OPS-MX100,N,MAT-100440,BH-9786,BC-1159
MAT-100444,S62/PL.45 304TL 0.8mm,OLD-100444,PC,ROH,A,F,10,2,14,21,40.39,90.3,NW01,V-45814,SG-65,OPS-S62,Y,MAT-100444,BH-2653,BC-3546
MAT-100447,S160/PL.48 304TL 0.4mm,OLD-100447,PC,FERT,A,X,14,2,30,14,86.1,195.22,NW01,V-11034,SG-40,OPS-S160,Y,MAT-100447,BH-8940,BC-7934
MAT-100449,XL520/PL.50 304TL 0.7mm,OLD-100449,PC,FERT,B,E,10,3,7,60,22.91,87.71,NW01,V-90752,SG-66,OPS-XL520,Y,MAT-100449,BH-5448,BC-6173
MAT-100454,MX250/PL.05 304TL 0.6mm,OLD-100454,PC,FERT,B,E,21,6,21,28,27.66,60.8,NW01,V-74853,SG-32,OPS-MX250,N,MAT-100454,BH-1773,BC-8343
MAT-100461,XL520/PL.12 304TL 0.7mm,OLD-100461,PC,HALB,B,X,14,6,7,14,97.93,124.24,NW01,V-55331,SG-96,OPS-XL520,N,MAT-100461,BH-2287,BC-6369
MAT-100463,PRO-12X/PL.14 304TL 0.7mm,OLD-100463,PC,FERT,B,E,7,6,14,60,40.41,157.52,NW01,V-38523,SG-89,OPS-PRO-12X,N,MAT-100463,BH-4489,BC-7144
MAT-100464,MX100/PL.15 304TL 0.4mm,OLD-100464,PC,FERT,B,E,5,4,14,60,7.9,36.85,NW01,V-98369,SG-106,OPS-MX100,Y,MAT-100464,BH-3648,BC-5262
MAT-100468,S62/PL.19 304TL 0.8mm,OLD-100468,PC,HALB,C,X,14,8,14,60,78.66,77.61,NW01,V-76658,SG-67,OPS-S62,N,MAT-100468,BH-7468,BC-2878
MAT-100472,XL420/PL.23 304TL 0.6mm,OLD-100472,PC,HALB,C,E,21,8,7,35,14.64,20.14,NW01,V-60555,SG-35,OPS-XL420,Y,MAT-100472,BH-1083,BC-2452
MAT-100473,XL520/PL.24 304TL 0.4mm,OLD-100473,PC,ROH,B,E,10,2,30,35,8.05,176.62,NW01,V-74800,SG-49,OPS-XL520,N,MAT-100473,BH-8279,BC-7918
MAT-100477,MX200/PL.28 304TL 0.4mm,OLD-100477,PC,ROH,B,E,7,4,30,21,100.14,140.31,NW01,V-54121,SG-59,OPS-MX200,Y,MAT-100477,BH-2035,BC-8950
MAT-100479,HT80/PL.30 304TL 0.7mm,OLD-100479,PC,HALB,B,F,10,4,30,28,69.55,144.75,NW01,V-75135,SG-84,OPS-HT80,N,MAT-100479,BH-4409,BC-9942
MAT-100482,S140/PL.33 304TL 0.8mm,OLD-100482,PC,FERT,A,X,10,6,14,21,107.96,188.67,NW01,V-13118,SG-65,OPS-S140,N,MAT-100482,BH-9301,BC-2454
MAT-100492,S62/PL.43 304TL 0.5mm,OLD-100492,PC,FERT,C,X,10,2,21,28,37.56,199.19,NW01,V-83182,SG-120,OPS-S62,Y,MAT-100492,BH-9927,BC-8499
MAT-100496,XL420/PL.47 304TL 0.5mm,OLD-100496,PC,ROH,B,F,21,6,7,14,102.72,61.64,NW01,V-28043,SG-27,OPS-XL420,Y,MAT-100496,BH-8700,BC-7777
MAT-100500,MX100/PL.01 304TL 0.3mm,OLD-100500,PC,HALB,A,E,10,2,30,28,108.01,59.02,NW01,V-54932,SG-111,OPS-MX100,Y,MAT-100500,BH-4923,BC-3904
MAT-100509,XL520/PL.10 304TL 0.5mm,OLD-100509,PC,ROH,B,E,21,2,30,14,69.48,171.17,NW01,V-63543,SG-116,OPS-XL520,Y,MAT-100509,BH-9186,BC-4576
MAT-100513,MX200/PL.14 304TL 0.6mm,OLD-100513,PC,FERT,A,F,21,2,7,14,48.6,176.82,NW01,V-30041,SG-44,OPS-MX200,Y,MAT-100513,BH-3582,BC-6589
MAT-100514,MX250/PL.15 304TL 0.4mm,OLD-100514,PC,ROH,A,F,5,8,21,28,19.02,22.56,NW01,V-23287,SG-100,OPS-MX250,Y,MAT-100514,BH-8418,BC-1408
MAT-100516,S62/PL.17 304TL 0.6mm,OLD-100516,PC,ROH,C,X,21,3,7,60,113.52,130.65,NW01,V-52868,SG-46,OPS-S62,N,MAT-100516,BH-3549,BC-9110
MAT-100518,S140/PL.19 304TL 0.6mm,OLD-100518,PC,FERT,C,E,10,4,14,21,66.56,72.01,NW01,V-28086,SG-94,OPS-S140,Y,MAT-100518,BH-5489,BC-1770
MAT-100519,S160/PL.20 304TL 0.7mm,OLD-100519,PC,HALB,C,E,10,3,21,21,9.31,95.85,NW01,V-29614,SG-114,OPS-S160,N,MAT-100519,BH-1620,BC-1320
MAT-100520,XL420/PL.21 304TL 0.7mm,OLD-100520,PC,ROH,B,F,10,2,21,35,114.24,110.91,NW01,V-48373,SG-90,OPS-XL420,Y,MAT-100520,BH-2777,BC-9943
MAT-100525,MX200/PL.26 304TL 0.6mm,OLD-100525,PC,HALB,A,E,10,4,21,45,103.0,213.87,NW01,V-79802,SG-55,OPS-MX200,Y,MAT-100525,BH-5617,BC-6341
MAT-100528,S62/PL.29 304TL 0.7mm,OLD-100528,PC,HALB,B,F,10,8,30,21,53.94,73.65,NW01,V-45435,SG-45,OPS-S62,Y,MAT-100528,BH-9985,BC-8376
MAT-100529,S120/PL.30 304TL 0.3mm,OLD-100529,PC,HALB,B,F,21,2,7,45,31.38,186.78,NW01,V-15109,SG-100,OPS-S120,Y,MAT-100529,BH-4572,BC-1560
MAT-100538,MX250/PL.39 304TL 0.5mm,OLD-100538,PC,FERT,C,X,21,6,14,45,32.66,215.88,NW01,V-24532,SG-101,OPS-MX250,Y,MAT-100538,BH-4853,BC-2737
MAT-100539,HT80/PL.40 304TL 0.5mm,OLD-100539,PC,FERT,A,F,21,3,21,45,73.95,62.89,NW01,V-80029,SG-45,OPS-HT80,N,MAT-100539,BH-8089,BC-6239
MAT-100540,S62/PL.41 304TL 0.3mm,OLD-100540,PC,ROH,B,F,10,2,7,28,18.58,198.42,NW01,V-68666,SG-118,OPS-S62,Y,MAT-100540,BH-6284,BC-8312
MAT-100547,PRO-12X/PL.48 304TL 0.6mm,OLD-100547,PC,FERT,A,E,21,4,14,21,49.61,37.53,NW01,V-33975,SG-31,OPS-PRO-12X,N,MAT-100547,BH-4200,BC-5102
MAT-100552,S62/PL.03 304TL 0.7mm,OLD-100552,PC,HALB,A,E,21,8,30,45,53.16,60.68,NW01,V-33081,SG-76,OPS-S62,Y,MAT-100552,BH-7639,BC-7925
MAT-100556,XL420/PL.07 304TL 0.3mm,OLD-100556,PC,FERT,C,F,5,8,14,60,111.54,28.75,NW01,V-81310,SG-25,OPS-XL420,N,MAT-100556,BH-1305,BC-1495
MAT-100557,XL520/PL.08 304TL 0.7mm,OLD-100557,PC,ROH,B,F,10,6,7,45,93.21,42.51,NW01,V-92365,SG-20,OPS-XL520,Y,MAT-100557,BH-1112,BC-6510
MAT-100558,PRO-9X/PL.09 304TL 0.4mm,OLD-100558,PC,FERT,B,E,7,8,30,21,62.8,39.46,NW01,V-37286,SG-82,OPS-PRO-9X,N,MAT-100558,BH-8441,BC-1526
MAT-100561,MX200/PL.12 304TL 0.6mm,OLD-100561,PC,ROH,A,F,10,2,30,28,113.42,169.08,NW01,V-92200,SG-23,OPS-MX200,Y,MAT-100561,BH-9357,BC-1737
MAT-100566,S140/PL.17 304TL 0.6mm,OLD-100566,PC,ROH,C,F,14,4,7,21,96.62,212.4,NW01,V-24233,SG-106,OPS-S140,N,MAT-100566,BH-5439,BC-8258
MAT-100580,XL420/PL.31 304TL 0.7mm,OLD-100580,PC,ROH,A,F,21,8,30,21,4.51,218.06,NW01,V-13532,SG-100,OPS-XL420,N,MAT-100580,BH-1960,BC-5307
MAT-100583,PRO-12X/PL.34 304TL 0.5mm,OLD-100583,PC,FERT,A,E,7,6,14,21,45.88,207.03,NW01,V-68010,SG-36,OPS-PRO-12X,N,MAT-100583,BH-5454,BC-3099
