Status,Connector RCCP pivot,Connector Plant_Material nr,Material number,Material Description,Cycle time,Work center,Tool number,Project_name,Plate Factory,Plate Final,Plate Description,All delayed,demand_month,demand_pcs,product_type,demand_year,demand_month_num,pipeline_plant,factory_production_type,Plant_2_6,Type_2_6,Sap code_2_6,Material description_2_6,Total QTY_2_6,Tool No._2_6,Work center_2_6,Cycle times Standard Value (Machine)_2_6,OPS plan GD_2_6,Rev no_2_6,Material Status_2_6,Project ID,Region,Owner,Probability,Requested delivery date,Customer segment,Total expected PCS,Total expected EUR,Revenue tier,Submission channel,Description_2_3,Material Type_2_3,ABC (SAP)_2_3,Procurement Type_2_3,In House Production Time (WD)_2_3,Production LT Weeks_2_3,Transportation Lanes Lead Time (CD)_2_3,Planned Delivery Time (MARC) (CD)_2_3,Standard Cost in EUR_2_3,Avg Sales Price in EUR_2_3,G37 - Vendor_2_3,P45 - Supply Group_2_3,P55 - Operations Group_2_3,Is Network Material_2_3,Base Unit of Measure_2_3,WC-Description long_2_5,Size_2_5,Weekly Schedule_2_5,Hours_2_5,Days_2_5,Weekly available time_2_5,OEE (in %)_2_5,Daily breaks (in H)_2_5,NR of stands per WC_2_5,AP Limit_2_5,cap_avg_available_hrs_per_week,cap_avg_load_hrs_per_week,cap_utilization_pct,P80 - Plant Material: Operations Group,P80 - Plant Material: Mixed MRP,ops_avg_planned_pcs_per_week,Component Material code,Component Quantity,Component BUoM,Component Description,Production LT in Weeks,Component Scrap (perc),Assembly Scrap (perc),Total Scrap Factor,Effective Component Quantity,Comp Plate/Gasket,BOM Status,Header Description,Stock Qty_3_1,ATP Quantity_3_1,ATP Qty (allow negative)_3_1,Reserved Stock Qty_3_1,Stock in Transit Qty_3_1,Safety Stock Qty_3_1,Minimum Safety Stock Qty_3_1,Stock Value (EUR)_3_1,Stock in Transit Value (EUR)_3_1,Total Stock Value (EUR)_3_1,Calendar day_3_1,Operation Group_3_1,inv_usable_qty_3_1
Not approved,NW07_Northwind West Coast,NW07_MAT-101463,MAT-101463,HT80/PL.14 304TL 0.6mm,1.445,PRESS_4,T-70363-D,PRJ-DELTA-0480,P01_NW07_Northwind West Coast,MAT-101463,HT80/PL.14 304TL 0.6mm,0,1 2026,285,Plates,2026,1,NW07,Both,NW07,Plates,MAT-101463,HT80/PL.14 304TL 0.6mm,59382.0,T-70363-D,PRESS_4,1.445,125460.0,C,Active,SF-100479,,K. Suzuki,25,2026-12-14,Pharma,52475,1116287.69,Strategic,Direct,HT80/PL.14 304TL 0.6mm,ROH,B,F,21.0,8.0,7.0,21.0,16.8,71.6,V-41015,SG-17,OPS-HT80,Y,PC,Press 11000T,L,24/5,24.0,5.0,89.6,0.83,2.0,3.0,"Available Capacity, hours",89.60000000000024,54.55083333333332,0.6088262648809507,OPS-HT80,False,0.11045128205128207,RM-COIL-SS316,11.092,KG,COIL SS316 1250mm 0.5mm,3.0,0.019,0.022,1.0414,11.551,Plates,Active,HT80/PL.14 304TL 0.6mm,6330.0,3383.0,4628.0,276.0,1788.0,818.0,573.0,120097.31,33923.22,154020.53,2026.04.03,OPS-HT80,7300.0
Not approved,NW09_Northwind Alpine,NW09_MAT-101279,MAT-101279,PRO-12X/PL.30 304TL 0.6mm,1.646,PRESS_4,T-70656-C,PRJ-EPSILON-0618,P01_NW09_Northwind Alpine,MAT-101279,PRO-12X/PL.30 304TL 0.6mm,0,1 2026,5416,Plates,2026,1,NW09,Both,NW09,Plates,MAT-101279,PRO-12X/PL.30 304TL 0.6mm,140029.0,T-70656-C,PRESS_4,1.646,270619.0,C,Active,SF-100617,APAC-East,M. Silva,75,2026-11-07,District Heating,17739,669971.76,Medium,Distributor,PRO-12X/PL.30 304TL 0.6mm,FERT,B,E,21.0,2.0,14.0,45.0,85.49,101.99,V-93618,SG-10,OPS-PRO-12X,Y,PC,Press 11000T,L,24/5,24.0,5.0,83.6,0.78,2.0,3.0,"Available Capacity, hours",83.60000000000022,44.63160256410257,0.5338708440682112,OPS-PRO-12X,False,0.1317115384615384,RM-COIL-SS304,8.081,KG,COIL SS304 1250mm 0.4mm,6.0,0.047,0.023,1.0711,8.656,Plates,Active,PRO-12X/PL.30 304TL 0.6mm,9293.0,5964.0,5582.0,1287.0,3435.0,288.0,202.0,93926.11,34718.19,128644.3,2026.04.03,OPS-PRO-12X,12440.0
Not approved,NW14_Northwind Oceania,NW14_MAT-101364,MAT-101364,MX100/PL.15 304TL 0.4mm,1.349,PRESS_2,T-70575-B,PRJ-BETA-0241,P01_NW14_Northwind Oceania,MAT-101364,MX100/PL.15 304TL 0.4mm,0,1 2026,3851,Plates,2026,1,NW14,Both,NW14,Plates,MAT-101364,MX100/PL.15 304TL 0.4mm,101613.0,T-70575-B,PRESS_2,1.349,206602.0,C,Active,SF-100240,APAC-South,H. Lindqvist,10,2026-05-20,District Heating,3597,618794.92,Medium,OEM,MX100/PL.15 304TL 0.4mm,HALB,A,F,7.0,4.0,14.0,14.0,48.57,153.67,V-78639,SG-34,OPS-MX100,Y,PC,Press 5500T,M,8/5,8.0,5.0,27.8,0.82,1.0,2.0,"Available Capacity, hours",27.800000000000082,19.82455128205128,0.7131133554694684,OPS-MX100,False,0.14548141025641026,RM-COIL-SS304,7.278,KG,COIL SS304 1250mm 0.4mm,4.0,0.01,0.027,1.0373,7.549,Plates,Active,MX100/PL.15 304TL 0.4mm,4386.0,3909.0,1666.0,239.0,3046.0,82.0,57.0,246555.12,171228.2,417783.32,2026.04.03,OPS-MX100,7350.0
Not approved,Missing plant,_,,S120/PL.12 304TL 0.8mm,Missing CT,Missing WC,Missing tool,PRJ-ALPHA-0643,,,,0,1 2026,458,Plates,2026,1,,,,,,,,,,,,,,SF-100642,APAC-South,A. Meyer,25,2026-06-07,Pharma,2896,473628.39,Large,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not approved,NW15_Northwind Indochina,NW15_MAT-101296,MAT-101296,S62/PL.47 304TL 0.4mm,1.479,EXTRUSION_1,T-70080-B,PRJ-ALPHA-0645,P01_NW15_Northwind Indochina,MAT-101296,S62/PL.47 304TL 0.4mm,0,2 2026,1179,Plates,2026,2,NW15,Both,NW15,Plates,MAT-101296,S62/PL.47 304TL 0.4mm,80162.0,T-70080-B,EXTRUSION_1,1.479,166115.0,C,Active,SF-100644,APAC-East,S. Iyer,75,2026-09-02,Pharma,54570,1028467.93,Small,OEM,S62/PL.47 304TL 0.4mm,FERT,C,X,10.0,8.0,30.0,35.0,1.55,205.59,V-55567,SG-28,OPS-S62,Y,PC,Extrusion line A,M,12/6,12.0,6.0,41.62,0.703,1.5,2.0,"Available Capacity, hours",41.619999999999905,16.449230769230763,0.3952241895538395,OPS-S62,False,0.07512179487179486,RM-COIL-AL,4.873,KG,COIL ALUMINUM 1300mm 0.6mm,6.0,0.036,0.025,1.0619,5.175,Plates,Active,S62/PL.47 304TL 0.4mm,4238.0,2808.0,1822.0,569.0,1056.0,386.0,270.0,187341.5,46680.66,234022.15,2026.04.03,OPS-S62,4908.0
Not approved,NW14_Northwind Oceania,NW14_MAT-100636,MAT-100636,S62/PL.37 304TL 0.5mm,1.157,GRINDING_1,T-70580-A,PRJ-DELTA-0433,P01_NW14_Northwind Oceania,MAT-100636,S62/PL.37 304TL 0.5mm,0,2 2026,5088,Plates,2026,2,NW14,Both,NW14,Plates,MAT-100636,S62/PL.37 304TL 0.5mm,251792.0,T-70580-A,GRINDING_1,1.157,209559.0,B,Active,SF-100432,LATAM,M. Akiyama,75,2026-03-15,District Heating,38254,78256.46,Small,Partner,S62/PL.37 304TL 0.5mm,ROH,A,X,7.0,4.0,21.0,45.0,78.95,141.31,V-25996,SG-32,OPS-S62,N,PC,Grinding line,S,8/5,8.0,5.0,26.16,0.7789999999999999,1.0,1.0,"Available Capacity, hours",26.159999999999943,20.398333333333312,0.7797528032619785,OPS-S62,False,0.09751282051282055,RM-COIL-SS304,6.986,KG,COIL SS304 1250mm 0.4mm,8.0,0.053,0.008,1.0614,7.415,Plates,Active,S62/PL.37 304TL 0.5mm,2354.0,1847.0,930.0,207.0,1930.0,951.0,666.0,115952.74,95067.46,211020.2,2026.04.03,OPS-S62,3333.0
Not approved,NW12_Northwind Cerrado,NW12_MAT-100924,MAT-100924,S62/PL.25 304TL 0.3mm,1.319,PRESS_2,T-70224-B,PRJ-DELTA-0634,P01_NW12_Northwind Cerrado,MAT-100924,S62/PL.25 304TL 0.3mm,0,2 2026,7380,Plates,2026,2,NW12,Both,NW12,Plates,MAT-100924,S62/PL.25 304TL 0.3mm,139588.0,T-70224-B,PRESS_2,1.319,284840.0,C,Active,SF-100633,LATAM,P. Kovac,75,2026-12-10,Marine,3601,749473.3,Medium,Distributor,S62/PL.25 304TL 0.3mm,FERT,B,E,5.0,3.0,30.0,60.0,20.24,15.59,V-51620,SG-73,OPS-S62,N,PC,Press 5500T,M,8/5,8.0,5.0,24.6,0.74,1.0,2.0,"Available Capacity, hours",24.599999999999937,13.208782051282059,0.5369423598082151,OPS-S62,False,0.03811153846153848,RM-COIL-TI,5.453,KG,COIL TITANIUM 1200mm 0.4mm,2.0,0.021,0.021,1.0424,5.684,Plates,Active,S62/PL.25 304TL 0.3mm,9271.0,7127.0,3124.0,685.0,3094.0,1063.0,744.0,441802.28,147442.16,589244.43,2026.04.03,OPS-S62,11302.0
Not approved,NW08_Northwind Iberia,NW08_MAT-100252,MAT-100252,S62/PL.03 304TL 0.4mm,0.942,ASSY_1,T-70233-C,PRJ-EPSILON-0419,P01_NW08_Northwind Iberia,MAT-100252,S62/PL.03 304TL 0.4mm,0,2 2026,7189,Plates,2026,2,NW08,Both,NW08,Plates,MAT-100252,S62/PL.03 304TL 0.4mm,202984.0,T-70233-C,ASSY_1,0.942,273851.0,C,Active,SF-100418,APAC-East,M. Akiyama,50,2026-11-26,Refrigeration,56739,1110805.46,Small,Distributor,S62/PL.03 304TL 0.4mm,FERT,B,E,10.0,2.0,7.0,21.0,95.64,22.97,V-88213,SG-100,OPS-S62,Y,PC,Assembly cell,S,8/5,8.0,5.0,25.4,0.76,1.0,1.0,"Available Capacity, hours",25.400000000000063,15.660384615384618,0.6165505754088417,OPS-S62,False,0.06824743589743587,RM-COIL-TI,5.154,KG,COIL TITANIUM 1200mm 0.4mm,4.0,0.048,0.01,1.0585,5.456,Plates,Active,S62/PL.03 304TL 0.4mm,10155.0,9309.0,9005.0,175.0,2334.0,456.0,319.0,201775.4,46375.56,248150.96,2026.04.03,OPS-S62,12033.0
Not approved,NW13_Northwind Andes,NW13_MAT-101255,MAT-101255,PRO-12X/PL.06 304TL 0.3mm,1.473,PRESS_2,T-70369-D,PRJ-DELTA-0039,P01_NW13_Northwind Andes,MAT-101255,PRO-12X/PL.06 304TL 0.3mm,0,2 2026,5859,Plates,2026,2,NW13,Both,NW13,Plates,MAT-101255,PRO-12X/PL.06 304TL 0.3mm,235985.0,T-70369-D,PRESS_2,1.473,124043.0,C,Active,SF-100038,APAC-East,C. Moreau,10,2026-07-10,Pharma,33648,406263.6,Small,Direct,PRO-12X/PL.06 304TL 0.3mm,HALB,A,F,5.0,2.0,30.0,45.0,93.39,156.11,V-11127,SG-14,OPS-PRO-12X,Y,PC,Press 5500T,M,8/5,8.0,5.0,25.4,0.76,1.0,2.0,"Available Capacity, hours",25.400000000000063,17.902307692307698,0.7048152634766793,OPS-PRO-12X,True,0.06003141025641026,RM-COIL-HC276,8.391,KG,COIL HASTELLOY C276 1250mm 0.5mm,6.0,0.031,0.01,1.0413,8.738,Plates,Active,PRO-12X/PL.06 304TL 0.3mm,773.0,526.0,322.0,60.0,1073.0,1137.0,796.0,35081.43,48696.47,83777.9,2026.04.03,OPS-PRO-12X,709.0
Not approved,NW07_Northwind West Coast,NW07_MAT-101305,MAT-101305,MX200/PL.06 304TL 0.6mm,1.213,EXTRUSION_1,T-70267-A,PRJ-ALPHA-0174,P01_NW07_Northwind West Coast,MAT-101305,MX200/PL.06 304TL 0.6mm,0,2 2026,4776,Plates,2026,2,NW07,Both,NW07,Plates,MAT-101305,MX200/PL.06 304TL 0.6mm,16302.0,T-70267-A,EXTRUSION_1,1.213,301173.0,C,Active,SF-100173,APAC-South,K. Suzuki,50,2026-04-04,Industrial,25549,381830.05,Medium,Direct,MX200/PL.06 304TL 0.6mm,ROH,B,F,14.0,4.0,7.0,45.0,38.2,183.95,V-19252,SG-116,OPS-MX200,Y,PC,Extrusion line A,M,8/5,8.0,5.0,26.54,0.7885,1.0,2.0,"Available Capacity, hours",26.53999999999997,12.33237179487179,0.4646711301760288,OPS-MX200,False,0.1567083333333334,RM-COIL-NI,5.111,KG,COIL NICKEL 1200mm 0.35mm,3.0,0.037,0.029,1.0671,5.454,Plates,Active,MX200/PL.06 304TL 0.6mm,3968.0,2031.0,2839.0,278.0,3107.0,697.0,488.0,54749.27,42869.45,97618.72,2026.04.03,OPS-MX200,6378.0
