Status,Connector RCCP pivot,Connector Plant_Material nr,Material number,Material Description,Cycle time,Work center,Tool number,Project_name,Gasket Factory,Gasket Final,Gasket Description,All delayed,demand_month,demand_pcs,product_type,demand_year,demand_month_num,pipeline_plant,factory_production_type,Plant_2_6,Type_2_6,Sap code_2_6,Material description_2_6,Total QTY_2_6,Tool No._2_6,Work center_2_6,Cycle times Standard Value (Machine)_2_6,OPS plan GD_2_6,Rev no_2_6,Material Status_2_6,Project ID,Region,Owner,Probability,Requested delivery date,Customer segment,Total expected PCS,Total expected EUR,Revenue tier,Submission channel,Description_2_3,Material Type_2_3,ABC (SAP)_2_3,Procurement Type_2_3,In House Production Time (WD)_2_3,Production LT Weeks_2_3,Transportation Lanes Lead Time (CD)_2_3,Planned Delivery Time (MARC) (CD)_2_3,Standard Cost in EUR_2_3,Avg Sales Price in EUR_2_3,G37 - Vendor_2_3,P45 - Supply Group_2_3,P55 - Operations Group_2_3,Is Network Material_2_3,Base Unit of Measure_2_3,WC-Description long_2_5,Size_2_5,Weekly Schedule_2_5,Hours_2_5,Days_2_5,Weekly available time_2_5,OEE (in %)_2_5,Daily breaks (in H)_2_5,NR of stands per WC_2_5,AP Limit_2_5,cap_avg_available_hrs_per_week,cap_avg_load_hrs_per_week,cap_utilization_pct,P80 - Plant Material: Operations Group,P80 - Plant Material: Mixed MRP,ops_avg_planned_pcs_per_week,Component Material code,Component Quantity,Component BUoM,Component Description,Production LT in Weeks,Component Scrap (perc),Assembly Scrap (perc),Total Scrap Factor,Effective Component Quantity,Comp Plate/Gasket,BOM Status,Header Description,Stock Qty_3_1,ATP Quantity_3_1,ATP Qty (allow negative)_3_1,Reserved Stock Qty_3_1,Stock in Transit Qty_3_1,Safety Stock Qty_3_1,Minimum Safety Stock Qty_3_1,Stock Value (EUR)_3_1,Stock in Transit Value (EUR)_3_1,Total Stock Value (EUR)_3_1,Calendar day_3_1,Operation Group_3_1,inv_usable_qty_3_1
Not approved,NW11_Northwind Levant,NW11_MAT-200526,MAT-200526,M18-AFLAS GASKET 07,0.713,PRESS_2,T-70119-A,PRJ-DELTA-0550,P01_NW11_Northwind Levant,MAT-200526,M18-AFLAS GASKET 07,0,1 2026,6005,Gaskets,2026,1,NW11,Both,NW11,Gaskets,MAT-200526,M18-AFLAS GASKET 07,98440.0,T-70119-A,PRESS_2,0.713,171268.0,C,Active,SF-100549,LATAM,M. Akiyama,90,2026-07-10,Refrigeration,6317,61449.98,Large,Partner,M18-AFLAS GASKET 07,FERT,C,E,14.0,8.0,30.0,21.0,77.46,9.61,V-70722,SG-17,OPS-M18-AFLAS,Y,PC,Press 5500T,M,12/6,12.0,6.0,43.56,0.73,1.5,2.0,"Available Capacity, hours",43.56000000000013,34.518525641025654,0.7924363094817619,OPS-M18-AFLAS,False,0.025248076923076918,RM-COMP-SILI,0.255,KG,RUBBER COMPOUND SILICONE,4.0,0.06,0.019,1.0801,0.275,Gaskets,Active,M18-AFLAS GASKET 07,1938.0,1724.0,625.0,230.0,1515.0,612.0,428.0,107382.83,83944.78,191327.6,2026.04.03,OPS-M18-AFLAS,2841.0
Not approved,NW04_Northwind Southbay,NW04_MAT-200363,MAT-200363,M6-FKM GASKET 04,0.312,GRINDING_1,T-70244-B,PRJ-EPSILON-0684,P01_NW04_Northwind Southbay,MAT-200363,M6-FKM GASKET 04,0,1 2026,7153,Gaskets,2026,1,NW04,Both,NW04,Gaskets,MAT-200363,M6-FKM GASKET 04,207207.0,T-70244-B,GRINDING_1,0.312,132432.0,B,Phase-out,SF-100683,LATAM,R. Weber,50,2026-03-21,Data Center,35642,671792.75,Small,Direct,M6-FKM GASKET 04,ROH,A,X,21.0,3.0,7.0,35.0,84.24,156.24,V-69070,SG-44,OPS-M6-FKM,Y,PC,Grinding line,S,12/6,12.0,6.0,45.3,0.7124999999999999,1.0,1.0,"Available Capacity, hours",45.30000000000012,24.652948717948732,0.5442152034867256,OPS-M6-FKM,False,0.09598589743589747,RM-COMP-NBR,0.386,KG,RUBBER COMPOUND NBR70,3.0,0.047,0.005,1.0522,0.406,Gaskets,Active,M6-FKM GASKET 04,7064.0,5610.0,5275.0,1036.0,2277.0,580.0,406.0,340789.32,109849.56,450638.88,2026.04.03,OPS-M6-FKM,8761.0
Not approved,Missing plant,_,,M10-BFG GASKET 17,Missing CT,Missing WC,Missing tool,PRJ-EPSILON-0096,,,,0,1 2026,1396,Gaskets,2026,1,,,,,,,,,,,,,,SF-100095,EMEA-East,M. Akiyama,25,2026-09-04,Data Center,57932,811561.64,Medium,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not approved,NW01_Northwind Midwest,NW01_MAT-200262,MAT-200262,M18-AFLAS GASKET 23,0.654,EXTRUSION_1,T-70026-A,PRJ-BETA-0560,P01_NW01_Northwind Midwest,MAT-200262,M18-AFLAS GASKET 23,0,1 2026,526,Gaskets,2026,1,NW01,Both,NW01,Gaskets,MAT-200262,M18-AFLAS GASKET 23,56223.0,T-70026-A,EXTRUSION_1,0.654,104095.0,C,Active,SF-100559,,R. Weber,50,2026-05-07,Industrial,42479,266729.19,Strategic,Direct,M18-AFLAS GASKET 23,ROH,A,X,14.0,6.0,14.0,45.0,70.39,176.42,V-33500,SG-92,OPS-M18-AFLAS,Y,PC,Extrusion line A,M,12/5,12.0,5.0,40.6,0.76,1.0,2.0,"Available Capacity, hours",40.60000000000009,29.075897435897424,0.7161551092585557,OPS-M18-AFLAS,True,0.1332666666666667,RM-COMP-HNBR,0.38,KG,RUBBER COMPOUND HNBR60,8.0,0.032,0.024,1.0568,0.402,Gaskets,Active,M18-AFLAS GASKET 23,9249.0,8055.0,7656.0,1551.0,2104.0,780.0,546.0,464657.04,105702.07,570359.1,2026.04.03,OPS-M18-AFLAS,10573.0
Not approved,NW01_Northwind Midwest,NW01_MAT-200262,MAT-200262,M18-AFLAS GASKET 23,0.654,EXTRUSION_1,T-70026-A,PRJ-BETA-0560,P01_NW01_Northwind Midwest,MAT-200262,M18-AFLAS GASKET 23,0,1 2026,526,Gaskets,2026,1,NW01,Both,NW01,Gaskets,MAT-200262,M18-AFLAS GASKET 23,56223.0,T-70026-A,EXTRUSION_1,0.654,104095.0,C,Active,SF-100559,,R. Weber,50,2026-05-07,Industrial,42479,266729.19,Strategic,Direct,M18-AFLAS GASKET 23,ROH,A,X,14.0,6.0,14.0,45.0,70.39,176.42,V-33500,SG-92,OPS-M18-AFLAS,Y,PC,Extrusion line A,M,12/5,12.0,5.0,40.6,0.76,1.0,2.0,"Available Capacity, hours",40.60000000000009,29.075897435897424,0.7161551092585557,OPS-M18-AFLAS,True,0.1332666666666667,RM-COMP-SILI,0.291,KG,RUBBER COMPOUND SILICONE,8.0,0.043,0.024,1.068,0.311,Gaskets,Active,M18-AFLAS GASKET 23,9249.0,8055.0,7656.0,1551.0,2104.0,780.0,546.0,464657.04,105702.07,570359.1,2026.04.03,OPS-M18-AFLAS,10573.0
Not approved,NW12_Northwind Cerrado,NW12_MAT-100068,MAT-100068,MX100/PL.19 304TL 0.5mm,1.16,PRESS_1,T-70315-A,PRJ-OMEGA-0086,P01_NW12_Northwind Cerrado,MAT-100068,MX100/PL.19 304TL 0.5mm,0,1 2026,5843,Gaskets,2026,1,NW12,Both,NW12,Plates,MAT-100068,MX100/PL.19 304TL 0.5mm,133057.0,T-70315-A,PRESS_1,1.16,175911.0,B,Active,SF-100085,APAC-South,L. Tran,75,2026-08-25,Refrigeration,14409,197983.42,Medium,OEM,MX100/PL.19 304TL 0.5mm,HALB,B,X,7.0,8.0,21.0,21.0,37.71,102.53,V-58175,SG-13,OPS-MX100,N,PC,Press 3300T,S,8/5,8.0,5.0,24.6,0.74,1.0,1.0,"Available Capacity, hours",24.599999999999937,11.670064102564107,0.4743928496977291,OPS-MX100,False,0.00789423076923077,RM-COIL-SS304,6.066,KG,COIL SS304 1250mm 0.4mm,3.0,0.035,0.017,1.0526,6.385,Plates,Active,MX100/PL.19 304TL 0.5mm,5894.0,3801.0,2999.0,998.0,862.0,1150.0,805.0,288826.54,42241.0,331067.54,2026.04.03,OPS-MX100,5606.0
Not approved,NW12_Northwind Cerrado,NW12_MAT-100068,MAT-100068,MX100/PL.19 304TL 0.5mm,1.16,PRESS_1,T-70315-A,PRJ-OMEGA-0086,P01_NW12_Northwind Cerrado,MAT-100068,MX100/PL.19 304TL 0.5mm,0,1 2026,5843,Gaskets,2026,1,NW12,Both,NW12,Plates,MAT-100068,MX100/PL.19 304TL 0.5mm,133057.0,T-70315-A,PRESS_1,1.16,175911.0,B,Active,SF-100085,APAC-South,L. Tran,75,2026-08-25,Refrigeration,14409,197983.42,Medium,OEM,MX100/PL.19 304TL 0.5mm,HALB,B,X,7.0,8.0,21.0,21.0,37.71,102.53,V-58175,SG-13,OPS-MX100,N,PC,Press 3300T,S,8/5,8.0,5.0,24.6,0.74,1.0,1.0,"Available Capacity, hours",24.599999999999937,11.670064102564107,0.4743928496977291,OPS-MX100,False,0.00789423076923077,RM-COIL-TI,5.061,KG,COIL TITANIUM 1200mm 0.4mm,2.0,0.032,0.016,1.0485,5.306,Plates,Active,MX100/PL.19 304TL 0.5mm,5894.0,3801.0,2999.0,998.0,862.0,1150.0,805.0,288826.54,42241.0,331067.54,2026.04.03,OPS-MX100,5606.0
Not approved,NW10_Northwind Baltics,NW10_MAT-200119,MAT-200119,M22-NBR GASKET 40,0.555,GRINDING_1,T-70560-B,PRJ-OMEGA-0062,P01_NW10_Northwind Baltics,MAT-200119,M22-NBR GASKET 40,0,2 2026,4764,Gaskets,2026,2,NW10,Both,NW10,Gaskets,MAT-200119,M22-NBR GASKET 40,46382.0,T-70560-B,GRINDING_1,0.555,120255.0,A,Active,SF-100061,APAC-South,M. Silva,10,2026-06-19,Marine,13496,409087.98,Small,Direct,M22-NBR GASKET 40,HALB,B,F,14.0,4.0,14.0,21.0,69.94,198.5,V-12841,SG-71,OPS-M22-NBR,N,PC,Grinding line,S,12/5,12.0,5.0,36.39,0.7314999999999999,1.5,1.0,"Available Capacity, hours",36.39000000000006,16.80352564102564,0.461762177549481,OPS-M22-NBR,True,0.06005833333333333,RM-COMP-EPDM,0.322,KG,RUBBER COMPOUND EPDM80,2.0,0.05,0.025,1.0762,0.347,Gaskets,Active,M22-NBR GASKET 40,6005.0,4951.0,3838.0,940.0,116.0,267.0,187.0,340874.35,6584.75,347459.1,2026.04.03,OPS-M22-NBR,5854.0
Not approved,NW02_Northwind Heartland,NW02_MAT-200013,MAT-200013,M14-HNBR GASKET 14,0.664,LATHE_1,T-70642-A,PRJ-EPSILON-0116,P01_NW02_Northwind Heartland,MAT-200013,M14-HNBR GASKET 14,0,2 2026,1377,Gaskets,2026,2,NW02,Both,NW02,Gaskets,MAT-200013,M14-HNBR GASKET 14,256796.0,T-70642-A,LATHE_1,0.664,119799.0,C,Active,SF-100115,APAC-South,S. Iyer,25,2026-07-14,Refrigeration,50437,108168.37,Small,Distributor,M14-HNBR GASKET 14,ROH,A,F,10.0,3.0,21.0,60.0,81.87,139.91,V-74907,SG-34,OPS-M14-HNBR,Y,PC,Lathe cell,S,8/5,8.0,5.0,26.16,0.7789999999999999,1.0,1.0,"Available Capacity, hours",26.159999999999943,18.715448717948714,0.7154223516035456,OPS-M14-HNBR,True,0.11919102564102559,RM-COMP-NBR,0.385,KG,RUBBER COMPOUND NBR70,2.0,0.044,0.022,1.067,0.411,Gaskets,Active,M14-HNBR GASKET 14,6792.0,5374.0,4071.0,575.0,2788.0,395.0,276.0,47686.8,19574.62,67261.42,2026.04.03,OPS-M14-HNBR,9185.0
Not approved,NW05_Northwind Pacific,NW05_MAT-200476,MAT-200476,M20-SILI GASKET 37,0.748,GRINDING_1,T-70263-D,PRJ-DELTA-0253,P01_NW05_Northwind Pacific,MAT-200476,M20-SILI GASKET 37,0,2 2026,1783,Gaskets,2026,2,NW05,Both,NW05,Gaskets,MAT-200476,M20-SILI GASKET 37,184666.0,T-70263-D,GRINDING_1,0.748,3885.0,A,Phase-out,SF-100252,EMEA-West,T. Novak,90,2026-07-19,Refrigeration,50848,582309.07,Small,Direct,M20-SILI GASKET 37,ROH,B,E,5.0,6.0,21.0,28.0,17.63,57.7,V-49655,SG-106,OPS-M20-SILI,N,PC,Grinding line,S,8/5,8.0,5.0,27.3,0.8075,1.0,1.0,"Available Capacity, hours",27.300000000000075,13.930705128205126,0.5102822391283915,OPS-M20-SILI,False,0.0829839743589743,RM-COMP-NBR,0.409,KG,RUBBER COMPOUND NBR70,2.0,0.021,0.012,1.0333,0.423,Gaskets,Active,M20-SILI GASKET 37,9537.0,6387.0,8178.0,308.0,2398.0,589.0,412.0,439090.83,110405.77,549496.6,2026.04.03,OPS-M20-SILI,11346.0
Not approved,NW05_Northwind Pacific,NW05_MAT-200476,MAT-200476,M20-SILI GASKET 37,0.748,GRINDING_1,T-70263-D,PRJ-DELTA-0253,P01_NW05_Northwind Pacific,MAT-200476,M20-SILI GASKET 37,0,2 2026,1783,Gaskets,2026,2,NW05,Both,NW05,Gaskets,MAT-200476,M20-SILI GASKET 37,184666.0,T-70263-D,GRINDING_1,0.748,3885.0,A,Phase-out,SF-100252,EMEA-West,T. Novak,90,2026-07-19,Refrigeration,50848,582309.07,Small,Direct,M20-SILI GASKET 37,ROH,B,E,5.0,6.0,21.0,28.0,17.63,57.7,V-49655,SG-106,OPS-M20-SILI,N,PC,Grinding line,S,8/5,8.0,5.0,27.3,0.8075,1.0,1.0,"Available Capacity, hours",27.300000000000075,13.930705128205126,0.5102822391283915,OPS-M20-SILI,False,0.0829839743589743,RM-COMP-FKM,0.477,KG,RUBBER COMPOUND FKM75,8.0,0.021,0.014,1.0353,0.494,Gaskets,Active,M20-SILI GASKET 37,9537.0,6387.0,8178.0,308.0,2398.0,589.0,412.0,439090.83,110405.77,549496.6,2026.04.03,OPS-M20-SILI,11346.0
